,index_x,id,track,artist,match,index_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,0,2n8MljbnEk88smZ2TEZtUG,Falling,Trevor Daniel,1,0,0.778,0.469,10,-7.312,0,0.036,0.115,0,0.0867,0.211,127.121,audio_features,spotify:track:2n8MljbnEk88smZ2TEZtUG,https://api.spotify.com/v1/tracks/2n8MljbnEk88smZ2TEZtUG,https://api.spotify.com/v1/audio-analysis/2n8MljbnEk88smZ2TEZtUG,157040,4
1,0,51PJ2iCdBMEfxtVk3iy4p1,You Da One - Album Version (Edited),Rihanna,1,0,0.706,0.693,8,-5.416,1,0.04,0.497,3.13e-05,0.145,0.859,127.085,audio_features,spotify:track:51PJ2iCdBMEfxtVk3iy4p1,https://api.spotify.com/v1/tracks/51PJ2iCdBMEfxtVk3iy4p1,https://api.spotify.com/v1/audio-analysis/51PJ2iCdBMEfxtVk3iy4p1,200013,4
2,0,64TkpV7m7f09JY7K436pju,That's What I Like - PARTYNEXTDOOR Remix,Bruno Mars/PARTYNEXTDOOR,1,0,0.741,0.696,1,-5.341,1,0.0455,0.021,0,0.0921,0.86,134.032,audio_features,spotify:track:64TkpV7m7f09JY7K436pju,https://api.spotify.com/v1/tracks/64TkpV7m7f09JY7K436pju,https://api.spotify.com/v1/audio-analysis/64TkpV7m7f09JY7K436pju,206697,4
3,0,1BEMASUZQDqN5UGxMb1m6A,That's What I Like (feat. Gucci Mane),Bruno Mars/Gucci Mane,1,0,0.854,0.564,1,-4.964,1,0.0485,0.0171,0,0.0849,0.899,134.071,audio_features,spotify:track:1BEMASUZQDqN5UGxMb1m6A,https://api.spotify.com/v1/tracks/1BEMASUZQDqN5UGxMb1m6A,https://api.spotify.com/v1/audio-analysis/1BEMASUZQDqN5UGxMb1m6A,234596,4
4,22,3uXHSf9sSIpOJWuC1H8DiU,Talk - Disclosure VIP,Khalid/Disclosure,1,0,0.775,0.867,4,-7.388,0,0.204,0.0158,0.0117,0.0355,0.565,128.956,audio_features,spotify:track:3uXHSf9sSIpOJWuC1H8DiU,https://api.spotify.com/v1/tracks/3uXHSf9sSIpOJWuC1H8DiU,https://api.spotify.com/v1/audio-analysis/3uXHSf9sSIpOJWuC1H8DiU,273229,4
5,0,6LxEtvMKSwmPdd5Fh1PCof,Young Dumb & Broke REMIX (feat. Rae Sremmurd & Lil Yachty),Khalid/Rae Sremmurd/Lil Yachty,1,0,0.795,0.56,1,-5.773,1,0.0479,0.184,0,0.158,0.459,136.988,audio_features,spotify:track:6LxEtvMKSwmPdd5Fh1PCof,https://api.spotify.com/v1/tracks/6LxEtvMKSwmPdd5Fh1PCof,https://api.spotify.com/v1/audio-analysis/6LxEtvMKSwmPdd5Fh1PCof,263277,4
6,0,3r6Am8NvUDbuS2Yqv76ivi,One Love,ARASHI,0,0,0.552,0.938,10,-3.179,1,0.0468,0.188,0,0.405,0.699,102.976,audio_features,spotify:track:3r6Am8NvUDbuS2Yqv76ivi,https://api.spotify.com/v1/tracks/3r6Am8NvUDbuS2Yqv76ivi,https://api.spotify.com/v1/audio-analysis/3r6Am8NvUDbuS2Yqv76ivi,285459,4
7,0,35mvY5S1H3J2QZyna3TFe0,positions,Ariana Grande,1,0,0.737,0.802,0,-4.771,1,0.0878,0.468,0,0.0931,0.682,144.015,audio_features,spotify:track:35mvY5S1H3J2QZyna3TFe0,https://api.spotify.com/v1/tracks/35mvY5S1H3J2QZyna3TFe0,https://api.spotify.com/v1/audio-analysis/35mvY5S1H3J2QZyna3TFe0,172325,4
8,0,331ydluzDK0RrjnhrcS4j8,Whatcha Say - Klubjumpers Remix,Jason Derulo,1,0,0.67,0.961,11,-3.755,1,0.0365,0.0075,0,0.0436,0.915,131.995,audio_features,spotify:track:331ydluzDK0RrjnhrcS4j8,https://api.spotify.com/v1/tracks/331ydluzDK0RrjnhrcS4j8,https://api.spotify.com/v1/audio-analysis/331ydluzDK0RrjnhrcS4j8,242253,4
9,0,0pSBuHjILhNEo55xK1zrRt,Rolex,Ayo & Teo,0,0,0.804,0.886,1,-2.512,1,0.04,0.0837,0,0.266,0.789,144.946,audio_features,spotify:track:0pSBuHjILhNEo55xK1zrRt,https://api.spotify.com/v1/tracks/0pSBuHjILhNEo55xK1zrRt,https://api.spotify.com/v1/audio-analysis/0pSBuHjILhNEo55xK1zrRt,238587,4
