,index_x,id,track,artist,match,index_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,1,1JClFT74TYSXlzpagbmj0S,California Love - Original Version,2Pac/Roger/Dr. Dre,1,0,0.767,0.856,7,-2.715,1,0.041,0.0303,1.91e-06,0.36,0.747,91.535,audio_features,spotify:track:1JClFT74TYSXlzpagbmj0S,https://api.spotify.com/v1/tracks/1JClFT74TYSXlzpagbmj0S,https://api.spotify.com/v1/audio-analysis/1JClFT74TYSXlzpagbmj0S,285027,4
1,0,739vCwA3EpBSkk3uDsI2wB,Lemon (feat. Drake) - Drake Remix,N.E.R.D/Rihanna/Drake,3,0,0.777,0.657,1,-6.434,1,0.237,0.000738,3.34e-06,0.0932,0.245,189.992,audio_features,spotify:track:739vCwA3EpBSkk3uDsI2wB,https://api.spotify.com/v1/tracks/739vCwA3EpBSkk3uDsI2wB,https://api.spotify.com/v1/audio-analysis/739vCwA3EpBSkk3uDsI2wB,226107,4
2,0,0CAfXk7DXMnon4gLudAp7J,Low (feat. T-Pain),Flo Rida/T-Pain,2,0,0.918,0.609,10,-5.64,0,0.0791,0.0928,0.0,0.139,0.304,128.008,audio_features,spotify:track:0CAfXk7DXMnon4gLudAp7J,https://api.spotify.com/v1/tracks/0CAfXk7DXMnon4gLudAp7J,https://api.spotify.com/v1/audio-analysis/0CAfXk7DXMnon4gLudAp7J,231400,4
3,0,78qd8dvwea0Gosb6Fe6j3k,Boss Bitch,Doja Cat,1,0,0.707,0.955,10,-4.593,0,0.222,0.127,0.0,0.202,0.575,125.989,audio_features,spotify:track:78qd8dvwea0Gosb6Fe6j3k,https://api.spotify.com/v1/tracks/78qd8dvwea0Gosb6Fe6j3k,https://api.spotify.com/v1/audio-analysis/78qd8dvwea0Gosb6Fe6j3k,134240,4
4,0,0upFohXrGxIIAjyaJmCkMU,"Tokyo Drift (Fast & Furious) - From ""The Fast And The Furious: Tokyo Drift"" Soundtrack",Teriyaki Boyz,1,0,0.757,0.892,6,-5.321,1,0.124,0.178,4.19e-05,0.0719,0.936,127.014,audio_features,spotify:track:0upFohXrGxIIAjyaJmCkMU,https://api.spotify.com/v1/tracks/0upFohXrGxIIAjyaJmCkMU,https://api.spotify.com/v1/audio-analysis/0upFohXrGxIIAjyaJmCkMU,255947,4
5,0,60pEyAzL6SQZM9Nv739Whc,Shots - LMFAO feat. Lil Jon (Party Rock)(Instrumental),DJ ReDo,0,0,0.771,0.674,8,-6.616,1,0.0764,0.000623,0.0197,0.519,0.224,128.005,audio_features,spotify:track:60pEyAzL6SQZM9Nv739Whc,https://api.spotify.com/v1/tracks/60pEyAzL6SQZM9Nv739Whc,https://api.spotify.com/v1/audio-analysis/60pEyAzL6SQZM9Nv739Whc,220630,4
6,0,1r3d5vpAieOhSzT2oCLs4z,Sex On the Beach - Andy LaToggo Remix,Hot Bananas/Levina/Andy Latoggo,0,0,0.86,0.635,7,-6.01,0,0.0633,0.00948,0.0439,0.0933,0.225,127.987,audio_features,spotify:track:1r3d5vpAieOhSzT2oCLs4z,https://api.spotify.com/v1/tracks/1r3d5vpAieOhSzT2oCLs4z,https://api.spotify.com/v1/audio-analysis/1r3d5vpAieOhSzT2oCLs4z,358000,4
7,6,03goh4bpgto4jen4nsos3u,ABOUT TO DROP,DONT BLINK,1,0,0.764,0.981,5,-5.242,1,0.0551,0.0011,0.872,0.0299,0.817,126.011,audio_features,spotify:track:03goh4bpgto4jen4nsos3u,https://api.spotify.com/v1/tracks/03goh4bpgto4jen4nsos3u,https://api.spotify.com/v1/audio-analysis/03goh4bpgto4jen4nsos3u,217143,4
8,0,5woBL7INOKn8zYhsN9Bpq8,Danger,BTS,0,0,0.739,0.866,1,-3.379,1,0.0818,0.000949,0.000378,0.321,0.388,112.012,audio_features,spotify:track:5woBL7INOKn8zYhsN9Bpq8,https://api.spotify.com/v1/tracks/5woBL7INOKn8zYhsN9Bpq8,https://api.spotify.com/v1/audio-analysis/5woBL7INOKn8zYhsN9Bpq8,245107,4
9,0,7LZT6DUOfTrkMxrSyGcYfd,Chill Techno DJ All Night Long (Migliore Burning Man in Italia Mello Amore Estivo Crossfit Fitness Club Remix),Greg Sletteland/DJ Utopia,0,0,0.81,0.739,1,-8.737,1,0.0562,0.00711,0.451,0.0924,0.337,122.973,audio_features,spotify:track:7LZT6DUOfTrkMxrSyGcYfd,https://api.spotify.com/v1/tracks/7LZT6DUOfTrkMxrSyGcYfd,https://api.spotify.com/v1/audio-analysis/7LZT6DUOfTrkMxrSyGcYfd,148293,4
