,index_x,id,track,artist,match,index_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,20,2eOTEXYTvhCEzyeEf7uuTD,Original Rebel,Wheats,1,0,0.666,0.984,6,-5.188,1,0.0581,0.00245,0.0146,0.153,0.207,124.998,audio_features,spotify:track:2eOTEXYTvhCEzyeEf7uuTD,https://api.spotify.com/v1/tracks/2eOTEXYTvhCEzyeEf7uuTD,https://api.spotify.com/v1/audio-analysis/2eOTEXYTvhCEzyeEf7uuTD,264981,4
1,0,13M4Mzsp3HK3lbUJbWNW6l,"Watch Out for This (Bumaye) [feat. Busy Signal, The Flexican & FS Green]",Major Lazer/Busy Signal/The Flexican,1,0,0.819,0.759,10,-4.115,0,0.147,0.0196,6.53e-06,0.0613,0.88,108.026,audio_features,spotify:track:13M4Mzsp3HK3lbUJbWNW6l,https://api.spotify.com/v1/tracks/13M4Mzsp3HK3lbUJbWNW6l,https://api.spotify.com/v1/audio-analysis/13M4Mzsp3HK3lbUJbWNW6l,269147,4
2,0,2YmxLZJZcasgzyJi4SD4Ts,Marihuana,Fazzini & Franky Style,0,0,0.745,0.325,5,-16.419,0,0.113,0.901,2.53e-06,0.1,0.843,120.006,audio_features,spotify:track:2YmxLZJZcasgzyJi4SD4Ts,https://api.spotify.com/v1/tracks/2YmxLZJZcasgzyJi4SD4Ts,https://api.spotify.com/v1/audio-analysis/2YmxLZJZcasgzyJi4SD4Ts,225693,4
3,2,3Q7kjtIFCyZX0X9Dwk4gTQ,Booyah 2018 Remixes (feat. We Are Loud & Sonny Wilson) - Breathe Carolina Remix,Showtek/Sonny Wilson/We Are Loud,3,0,0.564,0.963,3,-1.501,0,0.0549,0.00925,0.00258,0.351,0.594,128.011,audio_features,spotify:track:3Q7kjtIFCyZX0X9Dwk4gTQ,https://api.spotify.com/v1/tracks/3Q7kjtIFCyZX0X9Dwk4gTQ,https://api.spotify.com/v1/audio-analysis/3Q7kjtIFCyZX0X9Dwk4gTQ,229219,4
4,8,37FfCz1YODL6NAuWfxUzJh,Left Right,Hardwell/Deorro/MAKJ,3,0,0.709,0.982,10,-3.768,0,0.0666,0.000373,0.353,0.285,0.192,128.005,audio_features,spotify:track:37FfCz1YODL6NAuWfxUzJh,https://api.spotify.com/v1/tracks/37FfCz1YODL6NAuWfxUzJh,https://api.spotify.com/v1/audio-analysis/37FfCz1YODL6NAuWfxUzJh,155827,4
5,0,1iNeZGJsoC0D7ZyJTdIbDS,Technologic,Daft Punk,0,0,0.812,0.516,9,-6.963,1,0.224,0.000369,1.09e-05,0.0991,0.633,127.498,audio_features,spotify:track:1iNeZGJsoC0D7ZyJTdIbDS,https://api.spotify.com/v1/tracks/1iNeZGJsoC0D7ZyJTdIbDS,https://api.spotify.com/v1/audio-analysis/1iNeZGJsoC0D7ZyJTdIbDS,284280,4
6,0,0FeLLeCEVH5n3r4SvckpT4,Bodak Yellow,Cardi B,1,0,0.927,0.704,11,-6.335,0,0.102,0.0659,0.0,0.231,0.494,125.015,audio_features,spotify:track:0FeLLeCEVH5n3r4SvckpT4,https://api.spotify.com/v1/tracks/0FeLLeCEVH5n3r4SvckpT4,https://api.spotify.com/v1/audio-analysis/0FeLLeCEVH5n3r4SvckpT4,223713,4
7,0,3cHyrEgdyYRjgJKSOiOtcS,Timber (feat. Ke$ha),Pitbull/Kesha,1,0,0.581,0.963,11,-4.087,1,0.0981,0.0295,0.0,0.139,0.788,129.992,audio_features,spotify:track:3cHyrEgdyYRjgJKSOiOtcS,https://api.spotify.com/v1/tracks/3cHyrEgdyYRjgJKSOiOtcS,https://api.spotify.com/v1/audio-analysis/3cHyrEgdyYRjgJKSOiOtcS,204160,4
8,0,5e45GhSF18JYoLpaq2F48h,"Azukita (Steve Aoki, Daddy Yankee, Play-N-Skillz & Elvis Crespo) (feat. Elvis Crespo)",Steve Aoki/Daddy Yankee/Play-N-Skillz,3,0,0.715,0.942,8,-2.889,1,0.107,0.00175,0.000461,0.0581,0.818,130.019,audio_features,spotify:track:5e45GhSF18JYoLpaq2F48h,https://api.spotify.com/v1/tracks/5e45GhSF18JYoLpaq2F48h,https://api.spotify.com/v1/audio-analysis/5e45GhSF18JYoLpaq2F48h,226162,4
9,29,0tgbSxoFjZ20MjfoKwWevV,Your Love,David Guetta/Showtek,2,0,0.571,0.937,2,-2.682,0,0.0336,0.0997,0.496,0.125,0.512,125.027,audio_features,spotify:track:0tgbSxoFjZ20MjfoKwWevV,https://api.spotify.com/v1/tracks/0tgbSxoFjZ20MjfoKwWevV,https://api.spotify.com/v1/audio-analysis/0tgbSxoFjZ20MjfoKwWevV,185620,4
10,4,4TuNI3WEMyLQAKRMJmcQdA,Narco,Blasterjaxx/Timmy Trumpet,2,0,0.764,0.943,8,-4.047,1,0.0711,0.00784,0.104,0.0699,0.207,129.961,audio_features,spotify:track:4TuNI3WEMyLQAKRMJmcQdA,https://api.spotify.com/v1/tracks/4TuNI3WEMyLQAKRMJmcQdA,https://api.spotify.com/v1/audio-analysis/4TuNI3WEMyLQAKRMJmcQdA,208635,4
11,0,5f6igUw1asUL4AGXSvgTW8,Levels - Skrillex Remix,Avicii/Skrillex,1,0,0.615,0.91,5,-2.825,0,0.0762,0.00761,0.0067,0.16,0.346,140.0,audio_features,spotify:track:5f6igUw1asUL4AGXSvgTW8,https://api.spotify.com/v1/tracks/5f6igUw1asUL4AGXSvgTW8,https://api.spotify.com/v1/audio-analysis/5f6igUw1asUL4AGXSvgTW8,281147,4
12,39,4cT4iCMSOQQxpTzLuOs5d3,Sun Goes Down (feat. MAGIC! & Sonny Wilson),David Guetta/Showtek/MAGIC!,3,0,0.652,0.922,0,-3.267,1,0.068,0.01,0.0189,0.366,0.695,127.997,audio_features,spotify:track:4cT4iCMSOQQxpTzLuOs5d3,https://api.spotify.com/v1/tracks/4cT4iCMSOQQxpTzLuOs5d3,https://api.spotify.com/v1/audio-analysis/4cT4iCMSOQQxpTzLuOs5d3,211867,4
13,0,4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),Fifth Harmony/Ty Dolla $ign,0,0,0.803,0.585,8,-5.861,1,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,audio_features,spotify:track:4tCtwWceOPWzenK2HAIJSb,https://api.spotify.com/v1/tracks/4tCtwWceOPWzenK2HAIJSb,https://api.spotify.com/v1/audio-analysis/4tCtwWceOPWzenK2HAIJSb,214480,4
14,0,67awxiNHNyjMXhVgsHuIrs,Turn Down for What,DJ Snake/Lil Jon,1,0,0.818,0.799,1,-4.1,0,0.156,0.00107,0.128,0.057,0.0815,100.014,audio_features,spotify:track:67awxiNHNyjMXhVgsHuIrs,https://api.spotify.com/v1/tracks/67awxiNHNyjMXhVgsHuIrs,https://api.spotify.com/v1/audio-analysis/67awxiNHNyjMXhVgsHuIrs,213733,4
15,0,0aym2LBJBk9DAYuHHutrIl,Hey Jude - Remastered 2015,The Beatles,0,0,0.386,0.607,10,-7.7,1,0.0261,0.0112,1.38e-05,0.088,0.532,147.207,audio_features,spotify:track:0aym2LBJBk9DAYuHHutrIl,https://api.spotify.com/v1/tracks/0aym2LBJBk9DAYuHHutrIl,https://api.spotify.com/v1/audio-analysis/0aym2LBJBk9DAYuHHutrIl,425653,4
16,0,0qxtQ8rf3W1nId3D2r0xH4,"I Just Can't Wait to Be King - From ""The Lion King""/Soundtrack Version",Jason Weaver/Rowan Atkinson/Laura Williams,0,0,0.689,0.533,6,-14.205,1,0.0544,0.321,7.37e-05,0.0958,0.898,98.801,audio_features,spotify:track:0qxtQ8rf3W1nId3D2r0xH4,https://api.spotify.com/v1/tracks/0qxtQ8rf3W1nId3D2r0xH4,https://api.spotify.com/v1/audio-analysis/0qxtQ8rf3W1nId3D2r0xH4,170880,4
17,11,4dHLeKmHhjyu1pfzE1j9Ac,How We Do - Original Mix,Hardwell/Showtek,2,0,0.668,0.889,1,-4.661,1,0.116,0.000456,0.863,0.0623,0.0619,129.994,audio_features,spotify:track:4dHLeKmHhjyu1pfzE1j9Ac,https://api.spotify.com/v1/tracks/4dHLeKmHhjyu1pfzE1j9Ac,https://api.spotify.com/v1/audio-analysis/4dHLeKmHhjyu1pfzE1j9Ac,326192,4
18,6,1Zw8k3YzoBfowauULQO3jS,I WOKE UP,Black Eyed Peas,1,0,0.84,0.84,2,-5.732,1,0.141,0.36,6.71e-06,0.222,0.509,97.024,audio_features,spotify:track:1Zw8k3YzoBfowauULQO3jS,https://api.spotify.com/v1/tracks/1Zw8k3YzoBfowauULQO3jS,https://api.spotify.com/v1/audio-analysis/1Zw8k3YzoBfowauULQO3jS,210309,4
19,0,4FldXs1bcL6WUrpOcENkfD,TODO BUENO,Black Eyed Peas/Piso 21,2,0,0.843,0.622,2,-8.752,1,0.394,0.0623,0.00289,0.156,0.509,99.963,audio_features,spotify:track:4FldXs1bcL6WUrpOcENkfD,https://api.spotify.com/v1/tracks/4FldXs1bcL6WUrpOcENkfD,https://api.spotify.com/v1/audio-analysis/4FldXs1bcL6WUrpOcENkfD,230400,4
20,0,1dqAW18r3tHyy4Ou7PjB9e,DURO HARD,Black Eyed Peas/Becky G,2,0,0.907,0.707,1,-6.015,1,0.04,0.152,0.000435,0.0823,0.811,102.992,audio_features,spotify:track:1dqAW18r3tHyy4Ou7PjB9e,https://api.spotify.com/v1/tracks/1dqAW18r3tHyy4Ou7PjB9e,https://api.spotify.com/v1/audio-analysis/1dqAW18r3tHyy4Ou7PjB9e,205049,4
21,0,255SxSI0xpmiPKg5gyzOLO,MABUTI,Black Eyed Peas/French Montana,2,0,0.793,0.633,1,-8.06,1,0.12,0.106,0.0245,0.189,0.482,104.936,audio_features,spotify:track:255SxSI0xpmiPKg5gyzOLO,https://api.spotify.com/v1/tracks/255SxSI0xpmiPKg5gyzOLO,https://api.spotify.com/v1/audio-analysis/255SxSI0xpmiPKg5gyzOLO,256000,4
22,0,6cy3ki60hLwimwIje7tALf,RITMO (Bad Boys For Life),Black Eyed Peas/J Balvin,2,0,0.721,0.716,10,-7.037,0,0.0657,0.0334,0.00084,0.237,0.667,104.994,audio_features,spotify:track:6cy3ki60hLwimwIje7tALf,https://api.spotify.com/v1/tracks/6cy3ki60hLwimwIje7tALf,https://api.spotify.com/v1/audio-analysis/6cy3ki60hLwimwIje7tALf,221714,4
23,0,0pGC7cwCOakpvCFYiawNhM,FEEL THE BEAT,Black Eyed Peas/Maluma,2,0,0.896,0.528,0,-5.981,0,0.0849,0.114,0.000189,0.773,0.312,104.991,audio_features,spotify:track:0pGC7cwCOakpvCFYiawNhM,https://api.spotify.com/v1/tracks/0pGC7cwCOakpvCFYiawNhM,https://api.spotify.com/v1/audio-analysis/0pGC7cwCOakpvCFYiawNhM,237714,4
