,index_x,id,track,artist,match,index_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,0,4Keq8d63cPQyTjsxcSmumj,Praise You - Purple Disco Machine Extended Remix,Fatboy Slim/Purple Disco Machine,1,0,0.819,0.896,1,-6.094,1,0.04,0.0307,0.525,0.015,0.93,121.013,audio_features,spotify:track:4Keq8d63cPQyTjsxcSmumj,https://api.spotify.com/v1/tracks/4Keq8d63cPQyTjsxcSmumj,https://api.spotify.com/v1/audio-analysis/4Keq8d63cPQyTjsxcSmumj,416815,4
1,28,1HgM1NOTcUQ3RAJszQCw03,Body Funk - Edit,Purple Disco Machine,1,0,0.804,0.894,7,-6.49,1,0.0409,0.00953,0.0364,0.0808,0.922,121.995,audio_features,spotify:track:1HgM1NOTcUQ3RAJszQCw03,https://api.spotify.com/v1/tracks/1HgM1NOTcUQ3RAJszQCw03,https://api.spotify.com/v1/audio-analysis/1HgM1NOTcUQ3RAJszQCw03,153443,4
2,0,4pJyvYP5klY5DK84dN3q90,Joys - Purple Disco Machine Extended Remix (Mixed),Roberto Surace/Purple Disco Machine,1,0,0.779,0.885,8,-4.987,1,0.0396,0.00225,0.0636,0.199,0.72,123.468,audio_features,spotify:track:4pJyvYP5klY5DK84dN3q90,https://api.spotify.com/v1/tracks/4pJyvYP5klY5DK84dN3q90,https://api.spotify.com/v1/audio-analysis/4pJyvYP5klY5DK84dN3q90,383864,4
3,0,3j5X0W7g5n3A6tzmaqtCei,SOS,Avicii/Aloe Blacc,0,0,0.802,0.646,5,-6.121,0,0.0591,0.302,0.0,0.118,0.389,99.978,audio_features,spotify:track:3j5X0W7g5n3A6tzmaqtCei,https://api.spotify.com/v1/tracks/3j5X0W7g5n3A6tzmaqtCei,https://api.spotify.com/v1/audio-analysis/3j5X0W7g5n3A6tzmaqtCei,157867,4
4,0,1QMi9XPFQAlgtkAdvDBmAy,EASY TASTY,Da-iCE,0,0,0.687,0.874,6,-3.346,0,0.12,0.0439,0.0,0.0551,0.581,122.961,audio_features,spotify:track:1QMi9XPFQAlgtkAdvDBmAy,https://api.spotify.com/v1/tracks/1QMi9XPFQAlgtkAdvDBmAy,https://api.spotify.com/v1/audio-analysis/1QMi9XPFQAlgtkAdvDBmAy,197187,4
5,0,2yvm5hS0vbKms0tMWuNnbd,"Get Down, JB! - Radio Mix",Me & My Toothbrush,0,0,0.88,0.886,11,-2.923,0,0.116,0.0261,0.165,0.109,0.907,119.962,audio_features,spotify:track:2yvm5hS0vbKms0tMWuNnbd,https://api.spotify.com/v1/tracks/2yvm5hS0vbKms0tMWuNnbd,https://api.spotify.com/v1/audio-analysis/2yvm5hS0vbKms0tMWuNnbd,212687,4
6,0,7cYNQkJoyHVhP8Drb2n6d5,Don’t Start Now (Kaytranada Remix),Dua Lipa/KAYTRANADA,0,0,0.726,0.588,4,-12.406,0,0.0569,0.00168,0.00814,0.0809,0.673,114.988,audio_features,spotify:track:7cYNQkJoyHVhP8Drb2n6d5,https://api.spotify.com/v1/tracks/7cYNQkJoyHVhP8Drb2n6d5,https://api.spotify.com/v1/audio-analysis/7cYNQkJoyHVhP8Drb2n6d5,267253,4
7,1,0gxGuvGAGfc41ujvTtXE2H,Animals,Martin Garrix,1,0,0.676,0.857,1,-6.7,1,0.0391,0.00149,0.674,0.307,0.0378,128.01,audio_features,spotify:track:0gxGuvGAGfc41ujvTtXE2H,https://api.spotify.com/v1/tracks/0gxGuvGAGfc41ujvTtXE2H,https://api.spotify.com/v1/audio-analysis/0gxGuvGAGfc41ujvTtXE2H,303040,4
8,2,2JosC6dbfPW6NGNFPeBi7n,Taki Taki,DJ Snake/Selena Gomez/Ozuna,3,0,0.84,0.805,11,-4.284,1,0.204,0.156,5.64e-06,0.0642,0.614,96.158,audio_features,spotify:track:2JosC6dbfPW6NGNFPeBi7n,https://api.spotify.com/v1/tracks/2JosC6dbfPW6NGNFPeBi7n,https://api.spotify.com/v1/audio-analysis/2JosC6dbfPW6NGNFPeBi7n,212500,4
9,0,219CVJWpOs08oZP5OOA5V1,WALK THIS WAY,SALU,0,0,0.726,0.765,8,-5.464,1,0.101,0.0485,1.15e-06,0.363,0.789,151.9,audio_features,spotify:track:219CVJWpOs08oZP5OOA5V1,https://api.spotify.com/v1/tracks/219CVJWpOs08oZP5OOA5V1,https://api.spotify.com/v1/audio-analysis/219CVJWpOs08oZP5OOA5V1,243697,4
