,index_x,id,track,artist,match,index_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,0,7qL7yiDtoOrebjZLK4Vfgx,La Isla Bonita - Mad Morello & Igi Remix,Dual Disco/Kaprila Keishing/Mad Morello,2,0,0.832,0.563,11,-7.334,1,0.0656,0.00394,0.487,0.0467,0.704,118.01,audio_features,spotify:track:7qL7yiDtoOrebjZLK4Vfgx,https://api.spotify.com/v1/tracks/7qL7yiDtoOrebjZLK4Vfgx,https://api.spotify.com/v1/audio-analysis/7qL7yiDtoOrebjZLK4Vfgx,347813,4
1,0,4Keq8d63cPQyTjsxcSmumj,Praise You - Purple Disco Machine Extended Remix,Fatboy Slim/Purple Disco Machine,1,0,0.819,0.896,1,-6.094,1,0.04,0.0307,0.525,0.015,0.93,121.013,audio_features,spotify:track:4Keq8d63cPQyTjsxcSmumj,https://api.spotify.com/v1/tracks/4Keq8d63cPQyTjsxcSmumj,https://api.spotify.com/v1/audio-analysis/4Keq8d63cPQyTjsxcSmumj,416815,4
2,0,5yQqZ8ZGLSvU1Y0clnHG3C,He's the Greatest Dancer - Dimitri from Paris Remix,Sister Sledge/Dimitri From Paris,1,0,0.737,0.815,5,-8.525,0,0.0433,0.017,8.47e-05,0.317,0.586,117.019,audio_features,spotify:track:5yQqZ8ZGLSvU1Y0clnHG3C,https://api.spotify.com/v1/tracks/5yQqZ8ZGLSvU1Y0clnHG3C,https://api.spotify.com/v1/audio-analysis/5yQqZ8ZGLSvU1Y0clnHG3C,368003,4
3,0,0weAUscowxeqDtpCgtbpgp,Gettin' Jiggy Wit It,Will Smith,0,0,0.881,0.874,6,-4.505,1,0.139,0.0175,1.14e-06,0.154,0.858,107.891,audio_features,spotify:track:0weAUscowxeqDtpCgtbpgp,https://api.spotify.com/v1/tracks/0weAUscowxeqDtpCgtbpgp,https://api.spotify.com/v1/audio-analysis/0weAUscowxeqDtpCgtbpgp,227933,4
4,0,0v6ZkVp2N6UQffv198Kn01,Jackin Souls,Block/Martina Budde/Crown,3,0,0.728,0.887,0,-4.451,1,0.122,0.000495,0.408,0.214,0.629,124.046,audio_features,spotify:track:0v6ZkVp2N6UQffv198Kn01,https://api.spotify.com/v1/tracks/0v6ZkVp2N6UQffv198Kn01,https://api.spotify.com/v1/audio-analysis/0v6ZkVp2N6UQffv198Kn01,255484,4
5,0,0L2DHyqL5HkV34dSCylYgN,You’re the Only Good Thing (That’s Happened to Me),George Morgan,0,0,0.658,0.156,0,-15.514,1,0.0301,0.749,0.000218,0.0689,0.3,95.008,audio_features,spotify:track:0L2DHyqL5HkV34dSCylYgN,https://api.spotify.com/v1/tracks/0L2DHyqL5HkV34dSCylYgN,https://api.spotify.com/v1/audio-analysis/0L2DHyqL5HkV34dSCylYgN,161093,3
6,13,5dQoiFgCihmn0a20e92xMZ,Let's Play House - Laurent Simeca Remix,Crazibiza/House of Prayers,1,0,0.783,0.964,0,-2.749,0,0.154,0.000595,0.00245,0.326,0.87,123.992,audio_features,spotify:track:5dQoiFgCihmn0a20e92xMZ,https://api.spotify.com/v1/tracks/5dQoiFgCihmn0a20e92xMZ,https://api.spotify.com/v1/audio-analysis/5dQoiFgCihmn0a20e92xMZ,243871,4
7,28,1HgM1NOTcUQ3RAJszQCw03,Body Funk - Edit,Purple Disco Machine,1,0,0.804,0.894,7,-6.49,1,0.0409,0.00953,0.0364,0.0808,0.922,121.995,audio_features,spotify:track:1HgM1NOTcUQ3RAJszQCw03,https://api.spotify.com/v1/tracks/1HgM1NOTcUQ3RAJszQCw03,https://api.spotify.com/v1/audio-analysis/1HgM1NOTcUQ3RAJszQCw03,153443,4
8,0,4pJyvYP5klY5DK84dN3q90,Joys - Purple Disco Machine Extended Remix (Mixed),Roberto Surace/Purple Disco Machine,1,0,0.779,0.885,8,-4.987,1,0.0396,0.00225,0.0636,0.199,0.72,123.468,audio_features,spotify:track:4pJyvYP5klY5DK84dN3q90,https://api.spotify.com/v1/tracks/4pJyvYP5klY5DK84dN3q90,https://api.spotify.com/v1/audio-analysis/4pJyvYP5klY5DK84dN3q90,383864,4
9,0,1QMi9XPFQAlgtkAdvDBmAy,EASY TASTY,Da-iCE,0,0,0.687,0.874,6,-3.346,0,0.12,0.0439,0.0,0.0551,0.581,122.961,audio_features,spotify:track:1QMi9XPFQAlgtkAdvDBmAy,https://api.spotify.com/v1/tracks/1QMi9XPFQAlgtkAdvDBmAy,https://api.spotify.com/v1/audio-analysis/1QMi9XPFQAlgtkAdvDBmAy,197187,4
