,index_x,id,track,artist,match,index_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,0,2YmxLZJZcasgzyJi4SD4Ts,Marihuana,Fazzini & Franky Style,0,0,0.745,0.325,5,-16.419,0,0.113,0.901,2.53e-06,0.1,0.843,120.006,audio_features,spotify:track:2YmxLZJZcasgzyJi4SD4Ts,https://api.spotify.com/v1/tracks/2YmxLZJZcasgzyJi4SD4Ts,https://api.spotify.com/v1/audio-analysis/2YmxLZJZcasgzyJi4SD4Ts,225693,4
1,3,5xBafmhrJzzMsd1dxErIbJ,Nothing Breaks Like a Heart - Don Diablo Remix,Mark Ronson/Miley Cyrus/Don Diablo,3,0,0.712,0.871,7,-3.571,0,0.225,0.179,1.94e-06,0.203,0.379,123.974,audio_features,spotify:track:5xBafmhrJzzMsd1dxErIbJ,https://api.spotify.com/v1/tracks/5xBafmhrJzzMsd1dxErIbJ,https://api.spotify.com/v1/audio-analysis/5xBafmhrJzzMsd1dxErIbJ,216774,4
2,2,3Q7kjtIFCyZX0X9Dwk4gTQ,Booyah 2018 Remixes (feat. We Are Loud & Sonny Wilson) - Breathe Carolina Remix,Showtek/Sonny Wilson/We Are Loud,3,0,0.564,0.963,3,-1.501,0,0.0549,0.00925,0.00258,0.351,0.594,128.011,audio_features,spotify:track:3Q7kjtIFCyZX0X9Dwk4gTQ,https://api.spotify.com/v1/tracks/3Q7kjtIFCyZX0X9Dwk4gTQ,https://api.spotify.com/v1/audio-analysis/3Q7kjtIFCyZX0X9Dwk4gTQ,229219,4
3,0,3oZoXyU0SkDldgS7AcN4y4,Get Low,Dillon Francis/DJ Snake,2,0,0.674,0.932,11,-4.424,0,0.0859,0.0282,0.71,0.684,0.728,101.033,audio_features,spotify:track:3oZoXyU0SkDldgS7AcN4y4,https://api.spotify.com/v1/tracks/3oZoXyU0SkDldgS7AcN4y4,https://api.spotify.com/v1/audio-analysis/3oZoXyU0SkDldgS7AcN4y4,212773,4
4,3,1C15jKMUXcCSSgEHmqbqxP,Anubis - Radio Edit,Mike Candys,1,0,0.774,0.916,11,-1.666,0,0.0999,0.0185,0.79,0.103,0.288,127.983,audio_features,spotify:track:1C15jKMUXcCSSgEHmqbqxP,https://api.spotify.com/v1/tracks/1C15jKMUXcCSSgEHmqbqxP,https://api.spotify.com/v1/audio-analysis/1C15jKMUXcCSSgEHmqbqxP,186680,4
5,1,0gxGuvGAGfc41ujvTtXE2H,Animals,Martin Garrix,1,0,0.676,0.857,1,-6.7,1,0.0391,0.00149,0.674,0.307,0.0378,128.01,audio_features,spotify:track:0gxGuvGAGfc41ujvTtXE2H,https://api.spotify.com/v1/tracks/0gxGuvGAGfc41ujvTtXE2H,https://api.spotify.com/v1/audio-analysis/0gxGuvGAGfc41ujvTtXE2H,303040,4
6,0,1zpXyQvAVKVrvysZbg6WFG,Phantom of the Chakra,Brianne Obee,0,0,0.715,0.468,0,-9.594,1,0.051,0.736,0.904,0.112,0.428,159.945,audio_features,spotify:track:1zpXyQvAVKVrvysZbg6WFG,https://api.spotify.com/v1/tracks/1zpXyQvAVKVrvysZbg6WFG,https://api.spotify.com/v1/audio-analysis/1zpXyQvAVKVrvysZbg6WFG,120000,4
7,0,12vWALBkZujABqkEnr0tau,Great Spirit (Mixed),Armin van Buuren/Vini Vici/Hilight Tribe,3,0,0.445,0.865,5,-11.528,0,0.0848,0.00166,0.158,0.196,0.166,138.003,audio_features,spotify:track:12vWALBkZujABqkEnr0tau,https://api.spotify.com/v1/tracks/12vWALBkZujABqkEnr0tau,https://api.spotify.com/v1/audio-analysis/12vWALBkZujABqkEnr0tau,59127,4
8,0,2QClgxYcgxxDD7EqOe1c3X,No Money - Dillon Francis Remix,Galantis/Dillon Francis,1,0,0.734,0.774,2,-3.606,1,0.0551,0.000247,0.0698,0.134,0.396,128.023,audio_features,spotify:track:2QClgxYcgxxDD7EqOe1c3X,https://api.spotify.com/v1/tracks/2QClgxYcgxxDD7EqOe1c3X,https://api.spotify.com/v1/audio-analysis/2QClgxYcgxxDD7EqOe1c3X,281694,4
9,0,5AEs83CYoPApEjYEJGbTuJ,Party Till We Die (feat. Andrew W.K.),MAKJ/Timmy Trumpet/Andrew W.K.,2,0,0.64,0.94,5,-2.976,0,0.0795,0.00528,0.000484,0.357,0.243,127.995,audio_features,spotify:track:5AEs83CYoPApEjYEJGbTuJ,https://api.spotify.com/v1/tracks/5AEs83CYoPApEjYEJGbTuJ,https://api.spotify.com/v1/audio-analysis/5AEs83CYoPApEjYEJGbTuJ,158555,4
10,0,2iIcc7E0ovv3lo6WIQVZ0K,2U (feat. Justin Bieber) - Afrojack Remix,David Guetta/Justin Bieber,2,0,0.759,0.977,8,-3.05,0,0.114,0.0022,0.00616,0.0635,0.244,127.998,audio_features,spotify:track:2iIcc7E0ovv3lo6WIQVZ0K,https://api.spotify.com/v1/tracks/2iIcc7E0ovv3lo6WIQVZ0K,https://api.spotify.com/v1/audio-analysis/2iIcc7E0ovv3lo6WIQVZ0K,264324,4
11,0,6lYdV7rTtv3dVpQ89htlRU,Calabria - Firebeatz Remix,Rune RK/Firebeatz,1,0,0.636,0.879,10,-2.862,1,0.0702,0.000732,0.446,0.324,0.395,128.004,audio_features,spotify:track:6lYdV7rTtv3dVpQ89htlRU,https://api.spotify.com/v1/tracks/6lYdV7rTtv3dVpQ89htlRU,https://api.spotify.com/v1/audio-analysis/6lYdV7rTtv3dVpQ89htlRU,221250,4
12,0,4aTtHoSBB0CuQGA6vXBNyp,Home (feat. Bonn),Martin Garrix/Bonn,2,0,0.466,0.612,8,-4.855,0,0.0307,0.0655,4.07e-06,0.132,0.236,128.114,audio_features,spotify:track:4aTtHoSBB0CuQGA6vXBNyp,https://api.spotify.com/v1/tracks/4aTtHoSBB0CuQGA6vXBNyp,https://api.spotify.com/v1/audio-analysis/4aTtHoSBB0CuQGA6vXBNyp,239067,4
