,index_x,id,track,artist,match,index_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,0,6EDO9iiTtwNv6waLwa1UUq,POPSTAR (feat. Drake),DJ Khaled/Drake,2,0,0.8,0.56,5,-4.818,0,0.261,0.057,0,0.134,0.45,163.071,audio_features,spotify:track:6EDO9iiTtwNv6waLwa1UUq,https://api.spotify.com/v1/tracks/6EDO9iiTtwNv6waLwa1UUq,https://api.spotify.com/v1/audio-analysis/6EDO9iiTtwNv6waLwa1UUq,200221,4
1,0,35RJhm1pEovTBwnNR0zWad,GREECE (feat. Drake),DJ Khaled/Drake,1,0,0.695,0.343,5,-10.798,1,0.0432,0.0743,1.04e-06,0.107,0.229,85.84,audio_features,spotify:track:35RJhm1pEovTBwnNR0zWad,https://api.spotify.com/v1/tracks/35RJhm1pEovTBwnNR0zWad,https://api.spotify.com/v1/audio-analysis/35RJhm1pEovTBwnNR0zWad,218902,4
2,3,73PUc2G469kE7CVuEiPmNP,Rivals (feat. Future),Usher/Future,2,0,0.519,0.447,4,-7.333,0,0.134,0.221,0,0.142,0.36,120.086,audio_features,spotify:track:73PUc2G469kE7CVuEiPmNP,https://api.spotify.com/v1/tracks/73PUc2G469kE7CVuEiPmNP,https://api.spotify.com/v1/audio-analysis/73PUc2G469kE7CVuEiPmNP,229773,5
3,0,2fPnuTUc13NBh4cvrlUCR6,Gangsta Zone,Daddy Yankee/Snoop Dogg,0,0,0.655,0.879,0,-4.743,1,0.235,0.0321,6.97e-06,0.0679,0.657,184.027,audio_features,spotify:track:2fPnuTUc13NBh4cvrlUCR6,https://api.spotify.com/v1/tracks/2fPnuTUc13NBh4cvrlUCR6,https://api.spotify.com/v1/audio-analysis/2fPnuTUc13NBh4cvrlUCR6,213000,4
4,0,0E6HVf8mArQDVpD4Ffzonv,Work (オルゴール) [オリジナル歌手:Rihanna feat. Drake],RiNG-O Orgel,0,0,0.392,0.37,11,-7.388,1,0.0443,0.89,0.871,0.212,0.846,132.116,audio_features,spotify:track:0E6HVf8mArQDVpD4Ffzonv,https://api.spotify.com/v1/tracks/0E6HVf8mArQDVpD4Ffzonv,https://api.spotify.com/v1/audio-analysis/0E6HVf8mArQDVpD4Ffzonv,30300,4
5,0,7DFnq8FYhHMCylykf6ZCxA,Yo (Excuse Me Miss),Chris Brown,1,0,0.536,0.612,4,-5.847,1,0.272,0.119,0,0.209,0.57,86.768,audio_features,spotify:track:7DFnq8FYhHMCylykf6ZCxA,https://api.spotify.com/v1/tracks/7DFnq8FYhHMCylykf6ZCxA,https://api.spotify.com/v1/audio-analysis/7DFnq8FYhHMCylykf6ZCxA,229040,4
6,0,4HDCLYli2SUdkq9OjmvhSD,BELIEVE IT,PARTYNEXTDOOR/Rihanna,2,0,0.43,0.7,6,-5.35,1,0.264,0.0902,0,0.216,0.731,158.373,audio_features,spotify:track:4HDCLYli2SUdkq9OjmvhSD,https://api.spotify.com/v1/tracks/4HDCLYli2SUdkq9OjmvhSD,https://api.spotify.com/v1/audio-analysis/4HDCLYli2SUdkq9OjmvhSD,183219,4
7,0,61LtVmmkGr8P9I2tSPvdpf,Teach Me How to Dougie,Cali Swag District,1,0,0.846,0.438,11,-4.981,1,0.141,0.2,9.43e-05,0.0939,0.512,85.013,audio_features,spotify:track:61LtVmmkGr8P9I2tSPvdpf,https://api.spotify.com/v1/tracks/61LtVmmkGr8P9I2tSPvdpf,https://api.spotify.com/v1/audio-analysis/61LtVmmkGr8P9I2tSPvdpf,237480,4
8,0,466cKvZn1j45IpxDdYZqdA,Toosie Slide,Drake,1,0,0.83,0.49,1,-8.82,0,0.209,0.289,3.04e-06,0.113,0.845,81.604,audio_features,spotify:track:466cKvZn1j45IpxDdYZqdA,https://api.spotify.com/v1/tracks/466cKvZn1j45IpxDdYZqdA,https://api.spotify.com/v1/audio-analysis/466cKvZn1j45IpxDdYZqdA,247059,4
9,1,1JClFT74TYSXlzpagbmj0S,California Love - Original Version,2Pac/Roger/Dr. Dre,1,0,0.767,0.856,7,-2.715,1,0.041,0.0303,1.91e-06,0.36,0.747,91.535,audio_features,spotify:track:1JClFT74TYSXlzpagbmj0S,https://api.spotify.com/v1/tracks/1JClFT74TYSXlzpagbmj0S,https://api.spotify.com/v1/audio-analysis/1JClFT74TYSXlzpagbmj0S,285027,4
