,index_x,id,track,artist,match,index_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,0,360CBPJ9q0T1gkgZuMGI07,California King Bed (Originally Performed By Rihanna) [Karaoke Version],R&B Divas United,0,0,0.502,0.484,7,-8.038,1,0.0322,2.52e-05,0.909,0.183,0.355,170.156,audio_features,spotify:track:360CBPJ9q0T1gkgZuMGI07,https://api.spotify.com/v1/tracks/360CBPJ9q0T1gkgZuMGI07,https://api.spotify.com/v1/audio-analysis/360CBPJ9q0T1gkgZuMGI07,251471,4
1,0,0VwNdo84DaVYLIkbVO86ND,We Are Never Ever Getting Back Together,Taylor Swift,1,0,0.628,0.676,7,-5.911,1,0.0916,0.00957,2.65e-05,0.121,0.75,85.984,audio_features,spotify:track:0VwNdo84DaVYLIkbVO86ND,https://api.spotify.com/v1/tracks/0VwNdo84DaVYLIkbVO86ND,https://api.spotify.com/v1/audio-analysis/0VwNdo84DaVYLIkbVO86ND,193147,4
2,2,43H3q2NWT9LCuYS1B5IUvV,Our Song,Taylor Swift,1,0,0.667,0.659,2,-4.932,1,0.0298,0.113,0.0,0.325,0.575,89.128,audio_features,spotify:track:43H3q2NWT9LCuYS1B5IUvV,https://api.spotify.com/v1/tracks/43H3q2NWT9LCuYS1B5IUvV,https://api.spotify.com/v1/audio-analysis/43H3q2NWT9LCuYS1B5IUvV,203440,4
3,0,6VoIBz0VhCyz7OdEoRYDiA,Say It Ain't So,Weezer,1,0,0.634,0.551,3,-7.136,1,0.0352,0.00737,1.82e-05,0.07,0.453,151.779,audio_features,spotify:track:6VoIBz0VhCyz7OdEoRYDiA,https://api.spotify.com/v1/tracks/6VoIBz0VhCyz7OdEoRYDiA,https://api.spotify.com/v1/audio-analysis/6VoIBz0VhCyz7OdEoRYDiA,258827,4
4,0,7LzdE75Ii1HLGWhhIJK4hD,Mexican Fender,Weezer,1,0,0.504,0.69,11,-5.451,1,0.042,0.069,0.0,0.515,0.654,84.073,audio_features,spotify:track:7LzdE75Ii1HLGWhhIJK4hD,https://api.spotify.com/v1/tracks/7LzdE75Ii1HLGWhhIJK4hD,https://api.spotify.com/v1/audio-analysis/7LzdE75Ii1HLGWhhIJK4hD,191275,4
5,0,2cOUlop2ZakjOKe4WinesN,Slow Hands,Niall Horan,1,0,0.735,0.425,0,-6.648,1,0.0464,0.011,0.0,0.055,0.848,85.896,audio_features,spotify:track:2cOUlop2ZakjOKe4WinesN,https://api.spotify.com/v1/tracks/2cOUlop2ZakjOKe4WinesN,https://api.spotify.com/v1/audio-analysis/2cOUlop2ZakjOKe4WinesN,188174,4
6,0,4My8w8AA1JpG6E5SiAPvJL,Kiss You,One Direction,1,0,0.637,0.93,4,-2.632,1,0.0511,0.0177,0.0,0.452,0.886,90.014,audio_features,spotify:track:4My8w8AA1JpG6E5SiAPvJL,https://api.spotify.com/v1/tracks/4My8w8AA1JpG6E5SiAPvJL,https://api.spotify.com/v1/audio-analysis/4My8w8AA1JpG6E5SiAPvJL,182867,4
7,0,2qPUnoasNe4Ep43emVXEig,Billionaire (feat. Bruno Mars),Travie McCoy/Bruno Mars,2,0,0.633,0.673,6,-6.403,0,0.258,0.297,0.0,0.206,0.659,86.776,audio_features,spotify:track:2qPUnoasNe4Ep43emVXEig,https://api.spotify.com/v1/tracks/2qPUnoasNe4Ep43emVXEig,https://api.spotify.com/v1/audio-analysis/2qPUnoasNe4Ep43emVXEig,211160,4
8,0,6rPO02ozF3bM7NnOV4h6s2,Despacito - Remix,Luis Fonsi/Daddy Yankee/Justin Bieber,3,0,0.653,0.816,2,-4.353,1,0.167,0.228,0.0,0.0967,0.816,178.085,audio_features,spotify:track:6rPO02ozF3bM7NnOV4h6s2,https://api.spotify.com/v1/tracks/6rPO02ozF3bM7NnOV4h6s2,https://api.spotify.com/v1/audio-analysis/6rPO02ozF3bM7NnOV4h6s2,228827,4
9,1,1ssmjAYSU5PbmsjLq5yrNH,Never Give Up,Sia,1,0,0.568,0.936,6,-2.961,0,0.053,0.00497,0.0138,0.12,0.605,91.009,audio_features,spotify:track:1ssmjAYSU5PbmsjLq5yrNH,https://api.spotify.com/v1/tracks/1ssmjAYSU5PbmsjLq5yrNH,https://api.spotify.com/v1/audio-analysis/1ssmjAYSU5PbmsjLq5yrNH,221987,4
