,index_x,id,track,artist,match,index_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,0,1v7L65Lzy0j0vdpRjJewt1,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,1,0,0.686,0.735,2,-4.616,1,0.264,0.00921,0.00066,0.342,0.0596,171.355,audio_features,spotify:track:1v7L65Lzy0j0vdpRjJewt1,https://api.spotify.com/v1/tracks/1v7L65Lzy0j0vdpRjJewt1,https://api.spotify.com/v1/audio-analysis/1v7L65Lzy0j0vdpRjJewt1,322227,4
1,1,2DQ1ITjI0YoLFzuADN1ZBW,No Limit,G-Eazy/A$AP Rocky/Cardi B,1,0,0.838,0.771,1,-3.791,1,0.244,0.0117,0.0,0.0853,0.405,175.957,audio_features,spotify:track:2DQ1ITjI0YoLFzuADN1ZBW,https://api.spotify.com/v1/tracks/2DQ1ITjI0YoLFzuADN1ZBW,https://api.spotify.com/v1/audio-analysis/2DQ1ITjI0YoLFzuADN1ZBW,245387,4
2,0,4NhDYoQTYCdWHTvlbGVgwo,GOOBA,6ix9ine,0,0,0.611,0.688,1,-5.688,1,0.341,0.0264,0.0,0.251,0.393,178.462,audio_features,spotify:track:4NhDYoQTYCdWHTvlbGVgwo,https://api.spotify.com/v1/tracks/4NhDYoQTYCdWHTvlbGVgwo,https://api.spotify.com/v1/audio-analysis/4NhDYoQTYCdWHTvlbGVgwo,132303,4
3,0,3dVvWnj4D8JGkKvo6Hucso,TROLLZ (with Nicki Minaj),6ix9ine/Nicki Minaj,1,0,0.744,0.422,1,-8.946,1,0.294,0.0319,0.00011,0.11,0.493,180.006,audio_features,spotify:track:3dVvWnj4D8JGkKvo6Hucso,https://api.spotify.com/v1/tracks/3dVvWnj4D8JGkKvo6Hucso,https://api.spotify.com/v1/audio-analysis/3dVvWnj4D8JGkKvo6Hucso,202667,4
4,1,1JClFT74TYSXlzpagbmj0S,California Love - Original Version,2Pac/Roger/Dr. Dre,1,0,0.767,0.856,7,-2.715,1,0.041,0.0303,1.91e-06,0.36,0.747,91.535,audio_features,spotify:track:1JClFT74TYSXlzpagbmj0S,https://api.spotify.com/v1/tracks/1JClFT74TYSXlzpagbmj0S,https://api.spotify.com/v1/audio-analysis/1JClFT74TYSXlzpagbmj0S,285027,4
5,0,4LwU4Vp6od3Sb08CsP99GC,The Next Episode,Dr. Dre/Snoop Dogg,1,0,0.922,0.909,10,-2.429,0,0.27,0.0281,0.0,0.0856,0.309,95.295,audio_features,spotify:track:4LwU4Vp6od3Sb08CsP99GC,https://api.spotify.com/v1/tracks/4LwU4Vp6od3Sb08CsP99GC,https://api.spotify.com/v1/audio-analysis/4LwU4Vp6od3Sb08CsP99GC,161507,4
6,0,46XvcuEZFFInDilbYUNHBn,Say I Yi Yi,Ying Yang Twins,1,0,0.782,0.627,8,-6.509,0,0.115,0.00233,1.27e-05,0.201,0.485,94.967,audio_features,spotify:track:46XvcuEZFFInDilbYUNHBn,https://api.spotify.com/v1/tracks/46XvcuEZFFInDilbYUNHBn,https://api.spotify.com/v1/audio-analysis/46XvcuEZFFInDilbYUNHBn,272507,4
7,0,2lMg3lCMOGistaWBNGjuT3,Blow the Whistle,Too $hort,1,0,0.907,0.625,1,-5.557,1,0.198,0.0042,0.0,0.151,0.605,99.918,audio_features,spotify:track:2lMg3lCMOGistaWBNGjuT3,https://api.spotify.com/v1/tracks/2lMg3lCMOGistaWBNGjuT3,https://api.spotify.com/v1/audio-analysis/2lMg3lCMOGistaWBNGjuT3,163133,4
8,0,4Hpib09wXgD84w4uwTPnYD,Tap In,Saweetie,1,0,0.954,0.696,10,-7.117,0,0.204,0.00576,0.000498,0.0754,0.432,100.036,audio_features,spotify:track:4Hpib09wXgD84w4uwTPnYD,https://api.spotify.com/v1/tracks/4Hpib09wXgD84w4uwTPnYD,https://api.spotify.com/v1/audio-analysis/4Hpib09wXgD84w4uwTPnYD,139413,4
9,0,4NQnCsHJUdiAQzSxIe2aWh,"Bubble Butt (feat. Bruno Mars, Tyga & Mystic)",Major Lazer/Bruno Mars/Tyga,1,0,0.796,0.603,7,-10.011,1,0.284,0.00834,0.0122,0.484,0.369,194.132,audio_features,spotify:track:4NQnCsHJUdiAQzSxIe2aWh,https://api.spotify.com/v1/tracks/4NQnCsHJUdiAQzSxIe2aWh,https://api.spotify.com/v1/audio-analysis/4NQnCsHJUdiAQzSxIe2aWh,207843,4
10,0,3CAa97w9d6v3vi2nXSdbNq,Touch It,Busta Rhymes,1,0,0.658,0.551,1,-6.62,1,0.371,0.00423,0.000108,0.197,0.441,138.345,audio_features,spotify:track:3CAa97w9d6v3vi2nXSdbNq,https://api.spotify.com/v1/tracks/3CAa97w9d6v3vi2nXSdbNq,https://api.spotify.com/v1/audio-analysis/3CAa97w9d6v3vi2nXSdbNq,214960,5
11,0,2Kv3JWOzRJsaen5vjmTVJL,Expensive (feat. Nicki Minaj),Ty Dolla $ign/Nicki Minaj,1,0,0.866,0.531,9,-6.859,1,0.0703,0.0379,0.0,0.0937,0.266,99.069,audio_features,spotify:track:2Kv3JWOzRJsaen5vjmTVJL,https://api.spotify.com/v1/tracks/2Kv3JWOzRJsaen5vjmTVJL,https://api.spotify.com/v1/audio-analysis/2Kv3JWOzRJsaen5vjmTVJL,135740,4
12,0,0JjM9bKm4wrwohMslcm892,Still Be Friends (feat. Tory Lanez & Tyga),G-Eazy/Tory Lanez/Tyga,1,0,0.803,0.759,7,-4.692,0,0.0494,0.00509,0.0,0.0921,0.284,104.0,audio_features,spotify:track:0JjM9bKm4wrwohMslcm892,https://api.spotify.com/v1/tracks/0JjM9bKm4wrwohMslcm892,https://api.spotify.com/v1/audio-analysis/0JjM9bKm4wrwohMslcm892,213308,4
