,index_x,id,track,artist,match,index_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,0,2UTkrH42hnkbOxWY4JFv5x,EASY TASTY,Da-iCE,0,0,0.687,0.876,6,-3.346,0,0.129,0.0444,0,0.0543,0.57,122.973,audio_features,spotify:track:2UTkrH42hnkbOxWY4JFv5x,https://api.spotify.com/v1/tracks/2UTkrH42hnkbOxWY4JFv5x,https://api.spotify.com/v1/audio-analysis/2UTkrH42hnkbOxWY4JFv5x,197187,4
1,0,3gDL3aHnWzcJYjJjjjT5sV,Sister - Original Club Mix,Me & My Toothbrush,0,0,0.868,0.899,7,-4.186,1,0.0643,0.0385,0.215,0.271,0.88,121.001,audio_features,spotify:track:3gDL3aHnWzcJYjJjjjT5sV,https://api.spotify.com/v1/tracks/3gDL3aHnWzcJYjJjjjT5sV,https://api.spotify.com/v1/audio-analysis/3gDL3aHnWzcJYjJjjjT5sV,335331,4
2,0,2JP7p3KiVmCwYMzs0xxltq,Time Out - Original Club Mix,Me & My Toothbrush,0,0,0.813,0.93,7,-4.879,1,0.0477,0.00061,0.822,0.0636,0.487,124.011,audio_features,spotify:track:2JP7p3KiVmCwYMzs0xxltq,https://api.spotify.com/v1/tracks/2JP7p3KiVmCwYMzs0xxltq,https://api.spotify.com/v1/audio-analysis/2JP7p3KiVmCwYMzs0xxltq,346573,4
3,0,4ARnte9zRykgVqto6j7LMp,Superstition - Single Version,Stevie Wonder,0,0,0.637,0.745,8,-8.607,1,0.0748,0.0173,0.000554,0.0372,0.859,100.384,audio_features,spotify:track:4ARnte9zRykgVqto6j7LMp,https://api.spotify.com/v1/tracks/4ARnte9zRykgVqto6j7LMp,https://api.spotify.com/v1/audio-analysis/4ARnte9zRykgVqto6j7LMp,244827,4
4,0,5VEzhcUvc3gQ7tvZY0ajEX,"Get Down, JB! - Radio Mix",Me & My Toothbrush,0,0,0.88,0.886,11,-2.923,0,0.116,0.0261,0.164,0.109,0.907,119.963,audio_features,spotify:track:5VEzhcUvc3gQ7tvZY0ajEX,https://api.spotify.com/v1/tracks/5VEzhcUvc3gQ7tvZY0ajEX,https://api.spotify.com/v1/audio-analysis/5VEzhcUvc3gQ7tvZY0ajEX,212687,4
5,0,7cYNQkJoyHVhP8Drb2n6d5,Don’t Start Now (Kaytranada Remix),Dua Lipa/KAYTRANADA,0,0,0.726,0.588,4,-12.406,0,0.0569,0.00168,0.00814,0.0809,0.673,114.988,audio_features,spotify:track:7cYNQkJoyHVhP8Drb2n6d5,https://api.spotify.com/v1/tracks/7cYNQkJoyHVhP8Drb2n6d5,https://api.spotify.com/v1/audio-analysis/7cYNQkJoyHVhP8Drb2n6d5,267253,4
6,0,6rfN7M8AsfpwKcePExTy3D,Endtimes in Vogue (Endtimes in Club Version),Technolorgy,0,0,0.506,0.958,0,-3.037,0,0.0292,0.0669,0.000201,0.328,0.495,99.991,audio_features,spotify:track:6rfN7M8AsfpwKcePExTy3D,https://api.spotify.com/v1/tracks/6rfN7M8AsfpwKcePExTy3D,https://api.spotify.com/v1/audio-analysis/6rfN7M8AsfpwKcePExTy3D,234854,4
7,2,4qv7YSyt5UV8LvrXyE8sGn,"Can You Feel It - 7"" Version",The Jacksons,1,0,0.843,0.702,6,-4.981,0,0.0462,0.0499,0.000306,0.308,0.882,125.464,audio_features,spotify:track:4qv7YSyt5UV8LvrXyE8sGn,https://api.spotify.com/v1/tracks/4qv7YSyt5UV8LvrXyE8sGn,https://api.spotify.com/v1/audio-analysis/4qv7YSyt5UV8LvrXyE8sGn,230773,4
8,0,4f2GB5ZC7vOUYPAg69N2Xw,September,"Earth, Wind & Fire",0,0,0.684,0.864,9,-4.819,1,0.0312,0.131,0.00526,0.344,0.978,125.395,audio_features,spotify:track:4f2GB5ZC7vOUYPAg69N2Xw,https://api.spotify.com/v1/tracks/4f2GB5ZC7vOUYPAg69N2Xw,https://api.spotify.com/v1/audio-analysis/4f2GB5ZC7vOUYPAg69N2Xw,221520,4
9,0,2bJvI42r8EF3wxjOuDav4r,Time of Our Lives,Pitbull/Ne-Yo,1,0,0.72,0.802,1,-5.797,1,0.0582,0.0921,0,0.694,0.723,124.043,audio_features,spotify:track:2bJvI42r8EF3wxjOuDav4r,https://api.spotify.com/v1/tracks/2bJvI42r8EF3wxjOuDav4r,https://api.spotify.com/v1/audio-analysis/2bJvI42r8EF3wxjOuDav4r,229360,4
10,0,11seOdN5Oa1tMh4CLyGjbc,Keep Shining,Redfoo,1,0,0.514,0.883,5,-2.941,0,0.0721,0.00968,0,0.22,0.331,125.011,audio_features,spotify:track:11seOdN5Oa1tMh4CLyGjbc,https://api.spotify.com/v1/tracks/11seOdN5Oa1tMh4CLyGjbc,https://api.spotify.com/v1/audio-analysis/11seOdN5Oa1tMh4CLyGjbc,333112,4
11,0,2mX24O9SfPDMyH3sNDclJD,Don’t Stop Believin' - Workout Mix 128 BPM,Chandler FX,0,0,0.59,0.867,4,-7.172,1,0.041,0.000975,0.00802,0.187,0.483,128.003,audio_features,spotify:track:2mX24O9SfPDMyH3sNDclJD,https://api.spotify.com/v1/tracks/2mX24O9SfPDMyH3sNDclJD,https://api.spotify.com/v1/audio-analysis/2mX24O9SfPDMyH3sNDclJD,233570,4
12,0,017PF4Q3l4DBUiWoXk4OWT,Break My Heart,Dua Lipa,1,0,0.73,0.729,4,-3.434,0,0.0883,0.167,1.39e-06,0.349,0.467,113.013,audio_features,spotify:track:017PF4Q3l4DBUiWoXk4OWT,https://api.spotify.com/v1/tracks/017PF4Q3l4DBUiWoXk4OWT,https://api.spotify.com/v1/audio-analysis/017PF4Q3l4DBUiWoXk4OWT,221820,4
13,0,1NDxZ7cFAo481dtYWdrUnR,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann/Cheat Codes/CADE,1,0,0.703,0.868,7,-4.661,0,0.0291,0.15,0.132,0.104,0.733,121.03,audio_features,spotify:track:1NDxZ7cFAo481dtYWdrUnR,https://api.spotify.com/v1/tracks/1NDxZ7cFAo481dtYWdrUnR,https://api.spotify.com/v1/audio-analysis/1NDxZ7cFAo481dtYWdrUnR,193613,4
14,0,15fi2RJY78lcN9skolKdad,SOS,Avicii/Aloe Blacc,0,0,0.802,0.646,5,-6.121,0,0.0591,0.302,0,0.118,0.389,99.978,audio_features,spotify:track:15fi2RJY78lcN9skolKdad,https://api.spotify.com/v1/tracks/15fi2RJY78lcN9skolKdad,https://api.spotify.com/v1/audio-analysis/15fi2RJY78lcN9skolKdad,157867,4
