,index_x,id,track,artist,match,index_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,0,225vG9vU7QrnjJARJXnSpd,James Brown,SNBRN/Malcolm Anthony/Anthony Isaiah,3,0,0.68,0.823,1,-4.455,1,0.148,0.0808,0.000239,0.0794,0.643,111.042,audio_features,spotify:track:225vG9vU7QrnjJARJXnSpd,https://api.spotify.com/v1/tracks/225vG9vU7QrnjJARJXnSpd,https://api.spotify.com/v1/audio-analysis/225vG9vU7QrnjJARJXnSpd,208759,4
1,0,0We5TGc7c66ugaLgCWAg3k,Good Touch - Maurice Fulton Remix,Catz 'n Dogz/Eglė Sirvydytė/Maurice Fulton,1,0,0.8,0.7,11,-8.129,0,0.0414,0.0144,0.178,0.0732,0.916,113.029,audio_features,spotify:track:0We5TGc7c66ugaLgCWAg3k,https://api.spotify.com/v1/tracks/0We5TGc7c66ugaLgCWAg3k,https://api.spotify.com/v1/audio-analysis/0We5TGc7c66ugaLgCWAg3k,373625,4
2,0,157EYJlm1CLRdjmEw3dCqG,Just Around the Corner,Herbie Hancock,1,0,0.798,0.726,5,-13.213,1,0.0494,0.00694,0.863,0.057,0.912,113.767,audio_features,spotify:track:157EYJlm1CLRdjmEw3dCqG,https://api.spotify.com/v1/tracks/157EYJlm1CLRdjmEw3dCqG,https://api.spotify.com/v1/audio-analysis/157EYJlm1CLRdjmEw3dCqG,454173,4
3,1,67OcVGdHgzLykVUbaXwVYv,Icare,Yuksek/Bertrand Burgalat,2,0,0.88,0.809,10,-5.247,0,0.0369,0.00606,0.386,0.485,0.94,114.053,audio_features,spotify:track:67OcVGdHgzLykVUbaXwVYv,https://api.spotify.com/v1/tracks/67OcVGdHgzLykVUbaXwVYv,https://api.spotify.com/v1/audio-analysis/67OcVGdHgzLykVUbaXwVYv,222632,4
4,0,5nRp6DhuxolEIW3PuCBbVt,Let's Go Dancing (feat. Amy Douglas) - Dimitri From Paris Remix,Horse Meat Disco/Amy Douglas/Dimitri From Paris,2,0,0.732,0.946,11,-6.679,1,0.0461,0.0266,0.556,0.073,0.677,114.998,audio_features,spotify:track:5nRp6DhuxolEIW3PuCBbVt,https://api.spotify.com/v1/tracks/5nRp6DhuxolEIW3PuCBbVt,https://api.spotify.com/v1/audio-analysis/5nRp6DhuxolEIW3PuCBbVt,414523,4
5,0,5yQqZ8ZGLSvU1Y0clnHG3C,He's the Greatest Dancer - Dimitri from Paris Remix,Sister Sledge/Dimitri From Paris,1,0,0.737,0.815,5,-8.525,0,0.0433,0.017,8.47e-05,0.317,0.586,117.019,audio_features,spotify:track:5yQqZ8ZGLSvU1Y0clnHG3C,https://api.spotify.com/v1/tracks/5yQqZ8ZGLSvU1Y0clnHG3C,https://api.spotify.com/v1/audio-analysis/5yQqZ8ZGLSvU1Y0clnHG3C,368003,4
6,25,1HgM1NOTcUQ3RAJszQCw03,Body Funk - Edit,Purple Disco Machine,1,0,0.804,0.894,7,-6.49,1,0.0409,0.00953,0.0364,0.0808,0.922,121.995,audio_features,spotify:track:1HgM1NOTcUQ3RAJszQCw03,https://api.spotify.com/v1/tracks/1HgM1NOTcUQ3RAJszQCw03,https://api.spotify.com/v1/audio-analysis/1HgM1NOTcUQ3RAJszQCw03,153443,4
7,0,6wp5tGVNQYpKJPo1s3WUEY,Liquid Spirit - Claptone Remix,Gregory Porter/Claptone,1,0,0.877,0.62,4,-9.069,1,0.0549,0.00406,0.388,0.0549,0.296,120.997,audio_features,spotify:track:6wp5tGVNQYpKJPo1s3WUEY,https://api.spotify.com/v1/tracks/6wp5tGVNQYpKJPo1s3WUEY,https://api.spotify.com/v1/audio-analysis/6wp5tGVNQYpKJPo1s3WUEY,383552,4
8,0,2UTkrH42hnkbOxWY4JFv5x,EASY TASTY,Da-iCE,0,0,0.687,0.876,6,-3.346,0,0.129,0.0444,0.0,0.0543,0.57,122.973,audio_features,spotify:track:2UTkrH42hnkbOxWY4JFv5x,https://api.spotify.com/v1/tracks/2UTkrH42hnkbOxWY4JFv5x,https://api.spotify.com/v1/audio-analysis/2UTkrH42hnkbOxWY4JFv5x,197187,4
9,0,5VEzhcUvc3gQ7tvZY0ajEX,"Get Down, JB! - Radio Mix",Me & My Toothbrush,0,0,0.88,0.886,11,-2.923,0,0.116,0.0261,0.164,0.109,0.907,119.963,audio_features,spotify:track:5VEzhcUvc3gQ7tvZY0ajEX,https://api.spotify.com/v1/tracks/5VEzhcUvc3gQ7tvZY0ajEX,https://api.spotify.com/v1/audio-analysis/5VEzhcUvc3gQ7tvZY0ajEX,212687,4
10,0,3H7ihDc1dqLriiWXwsc2po,Breaking Me,Topic/A7S,2,0,0.789,0.72,8,-5.652,0,0.218,0.223,0.0,0.129,0.664,122.031,audio_features,spotify:track:3H7ihDc1dqLriiWXwsc2po,https://api.spotify.com/v1/tracks/3H7ihDc1dqLriiWXwsc2po,https://api.spotify.com/v1/audio-analysis/3H7ihDc1dqLriiWXwsc2po,166794,4
11,0,3gDL3aHnWzcJYjJjjjT5sV,Sister - Original Club Mix,Me & My Toothbrush,0,0,0.868,0.899,7,-4.186,1,0.0643,0.0385,0.215,0.271,0.88,121.001,audio_features,spotify:track:3gDL3aHnWzcJYjJjjjT5sV,https://api.spotify.com/v1/tracks/3gDL3aHnWzcJYjJjjjT5sV,https://api.spotify.com/v1/audio-analysis/3gDL3aHnWzcJYjJjjjT5sV,335331,4
12,2,2zIaYiQtRHfUwpqZLOW55l,Changes (feat. Haze) - Accapella,Sandy Rivera/Haze,2,0,0.546,0.119,10,-15.12,0,0.546,0.235,0.0,0.182,0.321,125.211,audio_features,spotify:track:2zIaYiQtRHfUwpqZLOW55l,https://api.spotify.com/v1/tracks/2zIaYiQtRHfUwpqZLOW55l,https://api.spotify.com/v1/audio-analysis/2zIaYiQtRHfUwpqZLOW55l,208040,4
