,index_x,id,track,artist,match,index_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,0,4yKZACkuudvfd600H2dQie,Get Down On It,Kool & The Gang,0,0,0.879,0.626,7,-6.344,1,0.0604,0.205,6.07e-05,0.056,0.968,110.864,audio_features,spotify:track:4yKZACkuudvfd600H2dQie,https://api.spotify.com/v1/tracks/4yKZACkuudvfd600H2dQie,https://api.spotify.com/v1/audio-analysis/4yKZACkuudvfd600H2dQie,212907,4
1,0,6Z6my7Cpi5BongU2fsY96l,September '99 - Phats & Small Remix,"Earth, Wind & Fire/Phats & Small",0,0,0.718,0.935,5,-4.667,1,0.0317,0.0198,0.0,0.214,0.972,129.933,audio_features,spotify:track:6Z6my7Cpi5BongU2fsY96l,https://api.spotify.com/v1/tracks/6Z6my7Cpi5BongU2fsY96l,https://api.spotify.com/v1/audio-analysis/6Z6my7Cpi5BongU2fsY96l,222400,4
2,0,5yQqZ8ZGLSvU1Y0clnHG3C,He's the Greatest Dancer - Dimitri from Paris Remix,Sister Sledge/Dimitri From Paris,1,0,0.737,0.815,5,-8.525,0,0.0433,0.017,8.47e-05,0.317,0.586,117.019,audio_features,spotify:track:5yQqZ8ZGLSvU1Y0clnHG3C,https://api.spotify.com/v1/tracks/5yQqZ8ZGLSvU1Y0clnHG3C,https://api.spotify.com/v1/audio-analysis/5yQqZ8ZGLSvU1Y0clnHG3C,368003,4
3,0,3Jv0B1CDiULHBq5c7q5XAM,Saturday Night Fever,Jazz Cup,0,0,0.706,0.778,10,-13.084,0,0.0423,0.197,0.945,0.139,0.456,115.019,audio_features,spotify:track:3Jv0B1CDiULHBq5c7q5XAM,https://api.spotify.com/v1/tracks/3Jv0B1CDiULHBq5c7q5XAM,https://api.spotify.com/v1/audio-analysis/3Jv0B1CDiULHBq5c7q5XAM,255619,4
4,0,6rfN7M8AsfpwKcePExTy3D,Endtimes in Vogue (Endtimes in Club Version),Technolorgy,0,0,0.506,0.958,0,-3.037,0,0.0292,0.0669,0.000201,0.328,0.495,99.991,audio_features,spotify:track:6rfN7M8AsfpwKcePExTy3D,https://api.spotify.com/v1/tracks/6rfN7M8AsfpwKcePExTy3D,https://api.spotify.com/v1/audio-analysis/6rfN7M8AsfpwKcePExTy3D,234854,4
5,2,4qv7YSyt5UV8LvrXyE8sGn,"Can You Feel It - 7"" Version",The Jacksons,1,0,0.843,0.702,6,-4.981,0,0.0462,0.0499,0.000306,0.308,0.882,125.464,audio_features,spotify:track:4qv7YSyt5UV8LvrXyE8sGn,https://api.spotify.com/v1/tracks/4qv7YSyt5UV8LvrXyE8sGn,https://api.spotify.com/v1/audio-analysis/4qv7YSyt5UV8LvrXyE8sGn,230773,4
6,0,0EAtqMkJ13QYAN7QDcFiDs,Taste of Bitter Love,Gladys Knight & The Pips,0,0,0.753,0.826,7,-5.547,0,0.0391,0.192,0.00936,0.0568,0.676,109.283,audio_features,spotify:track:0EAtqMkJ13QYAN7QDcFiDs,https://api.spotify.com/v1/tracks/0EAtqMkJ13QYAN7QDcFiDs,https://api.spotify.com/v1/audio-analysis/0EAtqMkJ13QYAN7QDcFiDs,278627,4
7,31,7hhclvecTpNxNNRCk7NUoc,Little L,Jamiroquai,1,0,0.878,0.724,10,-5.373,0,0.129,0.168,0.0116,0.133,0.904,121.906,audio_features,spotify:track:7hhclvecTpNxNNRCk7NUoc,https://api.spotify.com/v1/tracks/7hhclvecTpNxNNRCk7NUoc,https://api.spotify.com/v1/audio-analysis/7hhclvecTpNxNNRCk7NUoc,295400,4
8,0,2Foc5Q5nqNiosCNqttzHof,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk/Pharrell Williams/Nile Rodgers,0,0,0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,audio_features,spotify:track:2Foc5Q5nqNiosCNqttzHof,https://api.spotify.com/v1/tracks/2Foc5Q5nqNiosCNqttzHof,https://api.spotify.com/v1/audio-analysis/2Foc5Q5nqNiosCNqttzHof,248413,4
9,0,6d9UZvhiqIAmtZ6EIse1LW,At Night - Purple Disco Machine Extended Remix,Shakedown/Purple Disco Machine,1,0,0.844,0.64,1,-6.655,1,0.0651,0.0938,0.0123,0.211,0.488,121.996,audio_features,spotify:track:6d9UZvhiqIAmtZ6EIse1LW,https://api.spotify.com/v1/tracks/6d9UZvhiqIAmtZ6EIse1LW,https://api.spotify.com/v1/audio-analysis/6d9UZvhiqIAmtZ6EIse1LW,428611,4
