,index_x,id,track,artist,match,index_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,0,2oejEp50ZzPuQTQ6v54Evp,Call You Mine,The Chainsmokers/Bebe Rexha,2,0,0.585,0.696,4,-5.6,0,0.0307,0.204,0,0.344,0.522,104.01,audio_features,spotify:track:2oejEp50ZzPuQTQ6v54Evp,https://api.spotify.com/v1/tracks/2oejEp50ZzPuQTQ6v54Evp,https://api.spotify.com/v1/audio-analysis/2oejEp50ZzPuQTQ6v54Evp,217640,4
1,2,6aoGtdWXBkYQ2O2wnyIz2x,Not Ok,Kygo/Chelsea Cutler,2,0,0.618,0.66,11,-8.14,0,0.0372,0.0292,2.07e-06,0.325,0.408,105.0,audio_features,spotify:track:6aoGtdWXBkYQ2O2wnyIz2x,https://api.spotify.com/v1/tracks/6aoGtdWXBkYQ2O2wnyIz2x,https://api.spotify.com/v1/audio-analysis/6aoGtdWXBkYQ2O2wnyIz2x,210944,4
2,0,5icOoE6VgqFKohjWWNp0Ac,Here With Me,Marshmello/CHVRCHES,2,0,0.791,0.565,5,-3.933,0,0.0439,0.0623,0,0.156,0.181,99.961,audio_features,spotify:track:5icOoE6VgqFKohjWWNp0Ac,https://api.spotify.com/v1/tracks/5icOoE6VgqFKohjWWNp0Ac,https://api.spotify.com/v1/audio-analysis/5icOoE6VgqFKohjWWNp0Ac,156347,4
3,0,1ZLrDPgR7mvuTco3rQK8Pk,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,SHAUN/Conor Maynard/Sam Feldt,1,0,0.737,0.747,10,-4.818,1,0.0323,0.269,0,0.219,0.447,105.943,audio_features,spotify:track:1ZLrDPgR7mvuTco3rQK8Pk,https://api.spotify.com/v1/tracks/1ZLrDPgR7mvuTco3rQK8Pk,https://api.spotify.com/v1/audio-analysis/1ZLrDPgR7mvuTco3rQK8Pk,192453,4
4,13,0o0LTGxVpB2gG05hIUVrtF,Oh Child - LOVRA Remix,Robin Schulz/Piso 21/LOVRA,1,0,0.707,0.635,5,-6.962,0,0.0907,0.00356,0.0112,0.0294,0.737,122.994,audio_features,spotify:track:0o0LTGxVpB2gG05hIUVrtF,https://api.spotify.com/v1/tracks/0o0LTGxVpB2gG05hIUVrtF,https://api.spotify.com/v1/audio-analysis/0o0LTGxVpB2gG05hIUVrtF,253667,4
5,5,1s3lN9mJhWzhNIw28SQTuf,Heavy,Anne-Marie,1,0,0.461,0.583,5,-4.581,1,0.0814,0.283,0,0.112,0.497,133.032,audio_features,spotify:track:1s3lN9mJhWzhNIw28SQTuf,https://api.spotify.com/v1/tracks/1s3lN9mJhWzhNIw28SQTuf,https://api.spotify.com/v1/audio-analysis/1s3lN9mJhWzhNIw28SQTuf,172870,5
6,0,017PF4Q3l4DBUiWoXk4OWT,Break My Heart,Dua Lipa,1,0,0.73,0.729,4,-3.434,0,0.0883,0.167,1.39e-06,0.349,0.467,113.013,audio_features,spotify:track:017PF4Q3l4DBUiWoXk4OWT,https://api.spotify.com/v1/tracks/017PF4Q3l4DBUiWoXk4OWT,https://api.spotify.com/v1/audio-analysis/017PF4Q3l4DBUiWoXk4OWT,221820,4
7,0,4xPljYYAHhx7Vq0BVFaDGy,"Clarinet Concerto in A Major, K. 622: I. Allegro",Wolfgang Amadeus Mozart/Jack Brymer/Sir Thomas Beecham,0,0,0.305,0.0891,9,-19.495,1,0.0377,0.988,0.869,0.125,0.225,109.534,audio_features,spotify:track:4xPljYYAHhx7Vq0BVFaDGy,https://api.spotify.com/v1/tracks/4xPljYYAHhx7Vq0BVFaDGy,https://api.spotify.com/v1/audio-analysis/4xPljYYAHhx7Vq0BVFaDGy,820827,4
8,1,6Ti3vXrki2JUvzaB7byUBi,Juice - Breakbot Mix,Lizzo/Breakbot,1,0,0.779,0.741,0,-5.503,1,0.0962,0.0261,0,0.25,0.928,119.97,audio_features,spotify:track:6Ti3vXrki2JUvzaB7byUBi,https://api.spotify.com/v1/tracks/6Ti3vXrki2JUvzaB7byUBi,https://api.spotify.com/v1/audio-analysis/6Ti3vXrki2JUvzaB7byUBi,172453,4
9,0,2hHLbkatPwOOmrNxTiD41L,I Really Like You,Carly Rae Jepsen,1,0,0.62,0.805,5,-5.538,1,0.0417,0.00564,9.15e-05,0.285,0.586,122.062,audio_features,spotify:track:2hHLbkatPwOOmrNxTiD41L,https://api.spotify.com/v1/tracks/2hHLbkatPwOOmrNxTiD41L,https://api.spotify.com/v1/audio-analysis/2hHLbkatPwOOmrNxTiD41L,204764,4
10,0,4L3Vw8hTyqJ1AdyypY4e61,Call Me Maybe,Carly Rae Jepsen,1,0,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,audio_features,spotify:track:4L3Vw8hTyqJ1AdyypY4e61,https://api.spotify.com/v1/tracks/4L3Vw8hTyqJ1AdyypY4e61,https://api.spotify.com/v1/audio-analysis/4L3Vw8hTyqJ1AdyypY4e61,193400,4
11,0,2YUvrUJ0sznPVUI48W8Aeh,California Gurls - feat. Snoop Dogg,Katy Perry/Snoop Dogg,1,0,0.794,0.743,0,-4.312,1,0.0514,0.00496,0,0.18,0.447,125.022,audio_features,spotify:track:2YUvrUJ0sznPVUI48W8Aeh,https://api.spotify.com/v1/tracks/2YUvrUJ0sznPVUI48W8Aeh,https://api.spotify.com/v1/audio-analysis/2YUvrUJ0sznPVUI48W8Aeh,235107,4
12,3,1nZzRJbFvCEct3uzu04ZoL,Part Of Me,Katy Perry,1,0,0.678,0.918,5,-4.63,1,0.0355,0.000417,0,0.0744,0.769,130.028,audio_features,spotify:track:1nZzRJbFvCEct3uzu04ZoL,https://api.spotify.com/v1/tracks/1nZzRJbFvCEct3uzu04ZoL,https://api.spotify.com/v1/audio-analysis/1nZzRJbFvCEct3uzu04ZoL,216160,4
13,0,0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,Kesha,0,0,0.755,0.837,2,-2.718,0,0.142,0.0991,0,0.289,0.714,120.028,audio_features,spotify:track:0HPD5WQqrq7wPWR7P7Dw1i,https://api.spotify.com/v1/tracks/0HPD5WQqrq7wPWR7P7Dw1i,https://api.spotify.com/v1/audio-analysis/0HPD5WQqrq7wPWR7P7Dw1i,199693,4
14,0,1gv4xPanImH17bKZ9rOveR,Raise Your Glass,P!nk,1,0,0.7,0.709,7,-5.006,1,0.0839,0.0048,0,0.0289,0.625,122.019,audio_features,spotify:track:1gv4xPanImH17bKZ9rOveR,https://api.spotify.com/v1/tracks/1gv4xPanImH17bKZ9rOveR,https://api.spotify.com/v1/audio-analysis/1gv4xPanImH17bKZ9rOveR,202960,4
15,9,67Io3gxHwfbUreBf114c0u,Mine,Taylor Swift,1,0,0.621,0.78,7,-2.934,1,0.0297,0.00327,4.55e-06,0.184,0.672,121.038,audio_features,spotify:track:67Io3gxHwfbUreBf114c0u,https://api.spotify.com/v1/tracks/67Io3gxHwfbUreBf114c0u,https://api.spotify.com/v1/audio-analysis/67Io3gxHwfbUreBf114c0u,230773,4
16,0,1P17dC1amhFzptugyAO7Il,Look What You Made Me Do,Taylor Swift,1,0,0.766,0.709,9,-6.471,0,0.123,0.204,1.41e-05,0.126,0.506,128.07,audio_features,spotify:track:1P17dC1amhFzptugyAO7Il,https://api.spotify.com/v1/tracks/1P17dC1amhFzptugyAO7Il,https://api.spotify.com/v1/audio-analysis/1P17dC1amhFzptugyAO7Il,211853,4
17,0,4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,One Direction,1,0,0.726,0.787,4,-2.494,1,0.0737,0.009,0,0.0596,0.888,124.99,audio_features,spotify:track:4cluDES4hQEUhmXj6TXkSo,https://api.spotify.com/v1/tracks/4cluDES4hQEUhmXj6TXkSo,https://api.spotify.com/v1/audio-analysis/4cluDES4hQEUhmXj6TXkSo,199987,4
18,0,0w2AqrJ9afRXiTgfgW4tLd,Kissing Strangers,DNCE/Nicki Minaj,2,0,0.769,0.728,7,-5.827,1,0.0414,0.0522,0,0.0671,0.853,120.059,audio_features,spotify:track:0w2AqrJ9afRXiTgfgW4tLd,https://api.spotify.com/v1/tracks/0w2AqrJ9afRXiTgfgW4tLd,https://api.spotify.com/v1/audio-analysis/0w2AqrJ9afRXiTgfgW4tLd,203373,4
