,index_x,id,track,artist,match,index_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,5,1dGr1c8CrMLDpV6mPbImSI,Lover,Taylor Swift,1,0,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,audio_features,spotify:track:1dGr1c8CrMLDpV6mPbImSI,https://api.spotify.com/v1/tracks/1dGr1c8CrMLDpV6mPbImSI,https://api.spotify.com/v1/audio-analysis/1dGr1c8CrMLDpV6mPbImSI,221307,4
1,0,6LxEtvMKSwmPdd5Fh1PCof,Young Dumb & Broke REMIX (feat. Rae Sremmurd & Lil Yachty),Khalid/Rae Sremmurd/Lil Yachty,1,0,0.795,0.56,1,-5.773,1,0.0479,0.184,0.0,0.158,0.459,136.988,audio_features,spotify:track:6LxEtvMKSwmPdd5Fh1PCof,https://api.spotify.com/v1/tracks/6LxEtvMKSwmPdd5Fh1PCof,https://api.spotify.com/v1/audio-analysis/6LxEtvMKSwmPdd5Fh1PCof,263277,4
2,0,4uTvPEr01pjTbZgl7jcKBD,NASA,Ariana Grande,1,0,0.747,0.458,6,-6.891,1,0.303,0.451,0.0,0.252,0.47,75.029,audio_features,spotify:track:4uTvPEr01pjTbZgl7jcKBD,https://api.spotify.com/v1/tracks/4uTvPEr01pjTbZgl7jcKBD,https://api.spotify.com/v1/audio-analysis/4uTvPEr01pjTbZgl7jcKBD,182000,4
3,36,2cvOfKHOHgwQlLiuLKP2xR,Myself,Post Malone,1,0,0.476,0.701,0,-4.234,1,0.0349,0.102,0.0,0.242,0.405,163.882,audio_features,spotify:track:2cvOfKHOHgwQlLiuLKP2xR,https://api.spotify.com/v1/tracks/2cvOfKHOHgwQlLiuLKP2xR,https://api.spotify.com/v1/audio-analysis/2cvOfKHOHgwQlLiuLKP2xR,158120,4
4,0,34gCuhDGsG4bRPIf9bb02f,Thinking out Loud,Ed Sheeran,1,0,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,audio_features,spotify:track:34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/tracks/34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/audio-analysis/34gCuhDGsG4bRPIf9bb02f,281560,4
5,0,7vGGAJBkHKxKtOnGjQduDV,Saturday Nights,Khalid,1,0,0.54,0.439,10,-8.591,1,0.115,0.635,1.93e-05,0.0993,0.371,167.908,audio_features,spotify:track:7vGGAJBkHKxKtOnGjQduDV,https://api.spotify.com/v1/tracks/7vGGAJBkHKxKtOnGjQduDV,https://api.spotify.com/v1/audio-analysis/7vGGAJBkHKxKtOnGjQduDV,209547,4
6,0,3wFLWP0FcIqHK1wb1CPthQ,fake smile,Ariana Grande,1,0,0.45,0.619,9,-7.412,1,0.372,0.329,0.0,0.319,0.427,83.3,audio_features,spotify:track:3wFLWP0FcIqHK1wb1CPthQ,https://api.spotify.com/v1/tracks/3wFLWP0FcIqHK1wb1CPthQ,https://api.spotify.com/v1/audio-analysis/3wFLWP0FcIqHK1wb1CPthQ,208880,4
7,0,2E5RQ54P4GP9AI9p5vtZuz,Umbrella - Made famous by Rihanna Ft. Jay Z,PMC All-Stars,0,0,0.573,0.854,1,-4.411,1,0.0771,0.0647,0.0,0.0353,0.788,174.126,audio_features,spotify:track:2E5RQ54P4GP9AI9p5vtZuz,https://api.spotify.com/v1/tracks/2E5RQ54P4GP9AI9p5vtZuz,https://api.spotify.com/v1/audio-analysis/2E5RQ54P4GP9AI9p5vtZuz,260694,4
8,1,1ssmjAYSU5PbmsjLq5yrNH,Never Give Up,Sia,1,0,0.568,0.936,6,-2.961,0,0.053,0.00497,0.0138,0.12,0.605,91.009,audio_features,spotify:track:1ssmjAYSU5PbmsjLq5yrNH,https://api.spotify.com/v1/tracks/1ssmjAYSU5PbmsjLq5yrNH,https://api.spotify.com/v1/audio-analysis/1ssmjAYSU5PbmsjLq5yrNH,221987,4
9,0,7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,1,0,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,audio_features,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,233713,4
10,0,47W6YR93MPCGLEUReLMyDm,Virtual Insanity - Remastered,Jamiroquai,1,0,0.662,0.949,6,-4.758,1,0.108,0.127,0.0,0.135,0.515,91.954,audio_features,spotify:track:47W6YR93MPCGLEUReLMyDm,https://api.spotify.com/v1/tracks/47W6YR93MPCGLEUReLMyDm,https://api.spotify.com/v1/audio-analysis/47W6YR93MPCGLEUReLMyDm,229360,4
11,0,5UJshy5HDHdNEVqlJwzsQB,Versace on the Floor (Bruno Mars vs. David Guetta),Bruno Mars/David Guetta,2,0,0.747,0.701,2,-4.902,1,0.0429,0.108,0.0,0.0712,0.589,100.012,audio_features,spotify:track:5UJshy5HDHdNEVqlJwzsQB,https://api.spotify.com/v1/tracks/5UJshy5HDHdNEVqlJwzsQB,https://api.spotify.com/v1/audio-analysis/5UJshy5HDHdNEVqlJwzsQB,228300,4
12,0,4LwU4Vp6od3Sb08CsP99GC,The Next Episode,Dr. Dre/Snoop Dogg,1,0,0.922,0.909,10,-2.429,0,0.27,0.0281,0.0,0.0856,0.309,95.295,audio_features,spotify:track:4LwU4Vp6od3Sb08CsP99GC,https://api.spotify.com/v1/tracks/4LwU4Vp6od3Sb08CsP99GC,https://api.spotify.com/v1/audio-analysis/4LwU4Vp6od3Sb08CsP99GC,161507,4
13,0,6kex4EBAj0WHXDKZMEJaaF,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo/Nicki Minaj/Ty Dolla $ign,1,0,0.696,0.817,1,-3.862,1,0.109,0.075,0.0,0.187,0.782,98.064,audio_features,spotify:track:6kex4EBAj0WHXDKZMEJaaF,https://api.spotify.com/v1/tracks/6kex4EBAj0WHXDKZMEJaaF,https://api.spotify.com/v1/audio-analysis/6kex4EBAj0WHXDKZMEJaaF,216409,4
14,0,7mldq42yDuxiUNn08nvzHO,Body Like A Back Road,Sam Hunt,1,0,0.732,0.458,5,-7.225,1,0.0311,0.447,0.0,0.136,0.661,98.938,audio_features,spotify:track:7mldq42yDuxiUNn08nvzHO,https://api.spotify.com/v1/tracks/7mldq42yDuxiUNn08nvzHO,https://api.spotify.com/v1/audio-analysis/7mldq42yDuxiUNn08nvzHO,165387,4
15,1,1JClFT74TYSXlzpagbmj0S,California Love - Original Version,2Pac/Roger/Dr. Dre,1,0,0.767,0.856,7,-2.715,1,0.041,0.0303,1.91e-06,0.36,0.747,91.535,audio_features,spotify:track:1JClFT74TYSXlzpagbmj0S,https://api.spotify.com/v1/tracks/1JClFT74TYSXlzpagbmj0S,https://api.spotify.com/v1/audio-analysis/1JClFT74TYSXlzpagbmj0S,285027,4
16,2,39LmTF9RgyakzSYX8txrow,imagine,Ariana Grande,1,0,0.729,0.475,8,-4.985,1,0.0364,0.378,0.0,0.12,0.371,62.52,audio_features,spotify:track:39LmTF9RgyakzSYX8txrow,https://api.spotify.com/v1/tracks/39LmTF9RgyakzSYX8txrow,https://api.spotify.com/v1/audio-analysis/39LmTF9RgyakzSYX8txrow,212267,3
17,0,2ILu9Dyb8D2x5N3ym3cNHZ,Good Life (with G-Eazy & Kehlani),G-Eazy/Kehlani,2,0,0.572,0.778,1,-5.208,1,0.233,0.00638,0.0,0.0563,0.54,168.073,audio_features,spotify:track:2ILu9Dyb8D2x5N3ym3cNHZ,https://api.spotify.com/v1/tracks/2ILu9Dyb8D2x5N3ym3cNHZ,https://api.spotify.com/v1/audio-analysis/2ILu9Dyb8D2x5N3ym3cNHZ,225520,4
