,index_x,id,track,artist,match,index_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,49,5FtID9cgz6hX35unvcxyHk,My Name Is,Eminem,1,0,0.846,0.676,5,-6.155,0,0.33,0.0449,1.02e-06,0.112,0.817,85.437,audio_features,spotify:track:5FtID9cgz6hX35unvcxyHk,https://api.spotify.com/v1/tracks/5FtID9cgz6hX35unvcxyHk,https://api.spotify.com/v1/audio-analysis/5FtID9cgz6hX35unvcxyHk,268853,4
1,0,2igwFfvr1OAGX9SKDCPBwO,Empire State Of Mind,JAY-Z/Alicia Keys,1,0,0.491,0.956,11,-1.538,1,0.392,0.0295,0.0,0.46,0.811,173.585,audio_features,spotify:track:2igwFfvr1OAGX9SKDCPBwO,https://api.spotify.com/v1/tracks/2igwFfvr1OAGX9SKDCPBwO,https://api.spotify.com/v1/audio-analysis/2igwFfvr1OAGX9SKDCPBwO,276920,4
2,0,2E5RQ54P4GP9AI9p5vtZuz,Umbrella - Made famous by Rihanna Ft. Jay Z,PMC All-Stars,0,0,0.573,0.854,1,-4.411,1,0.0771,0.0647,0.0,0.0353,0.788,174.126,audio_features,spotify:track:2E5RQ54P4GP9AI9p5vtZuz,https://api.spotify.com/v1/tracks/2E5RQ54P4GP9AI9p5vtZuz,https://api.spotify.com/v1/audio-analysis/2E5RQ54P4GP9AI9p5vtZuz,260694,4
3,0,0TwBtDAWpkpM3srywFVOV5,Crazy In Love (feat. Jay-Z),Beyoncé/JAY-Z,0,0,0.664,0.758,2,-6.583,0,0.21,0.00238,0.0,0.0598,0.701,99.259,audio_features,spotify:track:0TwBtDAWpkpM3srywFVOV5,https://api.spotify.com/v1/tracks/0TwBtDAWpkpM3srywFVOV5,https://api.spotify.com/v1/audio-analysis/0TwBtDAWpkpM3srywFVOV5,235933,4
4,0,0BtLqAsrnPuJascrlKIpMj,CAN’T STOP THIS!!,REVIVE 'EM ALL 2020/Beverly/FAKY,0,0,0.651,0.932,10,-3.768,1,0.107,0.00969,0.000186,0.353,0.587,125.004,audio_features,spotify:track:0BtLqAsrnPuJascrlKIpMj,https://api.spotify.com/v1/tracks/0BtLqAsrnPuJascrlKIpMj,https://api.spotify.com/v1/audio-analysis/0BtLqAsrnPuJascrlKIpMj,248567,4
5,0,5n8Aro6j1bEGIy7Tpo7FV7,Fuck Tha Police,N.W.A.,0,0,0.859,0.75,8,-8.325,0,0.303,0.0193,0.0,0.0538,0.857,98.691,audio_features,spotify:track:5n8Aro6j1bEGIy7Tpo7FV7,https://api.spotify.com/v1/tracks/5n8Aro6j1bEGIy7Tpo7FV7,https://api.spotify.com/v1/audio-analysis/5n8Aro6j1bEGIy7Tpo7FV7,345717,4
6,0,7Deab1qNhkyO5q6rXmVLkO,Dirty Work,Austin Mahone,1,0,0.788,0.666,1,-3.642,1,0.0677,0.251,0.0,0.0886,0.908,104.971,audio_features,spotify:track:7Deab1qNhkyO5q6rXmVLkO,https://api.spotify.com/v1/tracks/7Deab1qNhkyO5q6rXmVLkO,https://api.spotify.com/v1/audio-analysis/7Deab1qNhkyO5q6rXmVLkO,188053,4
7,1,1JClFT74TYSXlzpagbmj0S,California Love - Original Version,2Pac/Roger/Dr. Dre,1,0,0.767,0.856,7,-2.715,1,0.041,0.0303,1.91e-06,0.36,0.747,91.535,audio_features,spotify:track:1JClFT74TYSXlzpagbmj0S,https://api.spotify.com/v1/tracks/1JClFT74TYSXlzpagbmj0S,https://api.spotify.com/v1/audio-analysis/1JClFT74TYSXlzpagbmj0S,285027,4
8,0,2avKuMN2QXkaG9vvHa2JLt,Take A Look Around,Limp Bizkit,1,0,0.425,0.852,11,-5.607,1,0.046,0.0175,0.306,0.0935,0.512,101.968,audio_features,spotify:track:2avKuMN2QXkaG9vvHa2JLt,https://api.spotify.com/v1/tracks/2avKuMN2QXkaG9vvHa2JLt,https://api.spotify.com/v1/audio-analysis/2avKuMN2QXkaG9vvHa2JLt,321040,4
9,0,4LwU4Vp6od3Sb08CsP99GC,The Next Episode,Dr. Dre/Snoop Dogg,1,0,0.922,0.909,10,-2.429,0,0.27,0.0281,0.0,0.0856,0.309,95.295,audio_features,spotify:track:4LwU4Vp6od3Sb08CsP99GC,https://api.spotify.com/v1/tracks/4LwU4Vp6od3Sb08CsP99GC,https://api.spotify.com/v1/audio-analysis/4LwU4Vp6od3Sb08CsP99GC,161507,4
10,0,219CVJWpOs08oZP5OOA5V1,WALK THIS WAY,SALU,0,0,0.726,0.765,8,-5.464,1,0.101,0.0485,1.15e-06,0.363,0.789,151.9,audio_features,spotify:track:219CVJWpOs08oZP5OOA5V1,https://api.spotify.com/v1/tracks/219CVJWpOs08oZP5OOA5V1,https://api.spotify.com/v1/audio-analysis/219CVJWpOs08oZP5OOA5V1,243697,4
11,0,32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),Mark Ronson/Bruno Mars,1,0,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,audio_features,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/audio-analysis/32OlwWuMpZ6b0aN2RZOeMS,269667,4
