,index_x,id,track,artist,match,index_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,8,6pjxUCDnHxOzTA8UQzYaNl,Stay - Jonas Blue Remix,Zedd/Alessia Cara/Jonas Blue,2,0,0.762,0.846,5,-4.545,0,0.0468,0.00956,0.00822,0.0403,0.553,125.001,audio_features,spotify:track:6pjxUCDnHxOzTA8UQzYaNl,https://api.spotify.com/v1/tracks/6pjxUCDnHxOzTA8UQzYaNl,https://api.spotify.com/v1/audio-analysis/6pjxUCDnHxOzTA8UQzYaNl,266341,4
1,0,2oejEp50ZzPuQTQ6v54Evp,Call You Mine,The Chainsmokers/Bebe Rexha,2,0,0.585,0.696,4,-5.6,0,0.0307,0.204,0.0,0.344,0.522,104.01,audio_features,spotify:track:2oejEp50ZzPuQTQ6v54Evp,https://api.spotify.com/v1/tracks/2oejEp50ZzPuQTQ6v54Evp,https://api.spotify.com/v1/audio-analysis/2oejEp50ZzPuQTQ6v54Evp,217640,4
2,2,6aoGtdWXBkYQ2O2wnyIz2x,Not Ok,Kygo/Chelsea Cutler,2,0,0.618,0.66,11,-8.14,0,0.0372,0.0292,2.07e-06,0.325,0.408,105.0,audio_features,spotify:track:6aoGtdWXBkYQ2O2wnyIz2x,https://api.spotify.com/v1/tracks/6aoGtdWXBkYQ2O2wnyIz2x,https://api.spotify.com/v1/audio-analysis/6aoGtdWXBkYQ2O2wnyIz2x,210944,4
3,0,5icOoE6VgqFKohjWWNp0Ac,Here With Me,Marshmello/CHVRCHES,2,0,0.791,0.565,5,-3.933,0,0.0439,0.0623,0.0,0.156,0.181,99.961,audio_features,spotify:track:5icOoE6VgqFKohjWWNp0Ac,https://api.spotify.com/v1/tracks/5icOoE6VgqFKohjWWNp0Ac,https://api.spotify.com/v1/audio-analysis/5icOoE6VgqFKohjWWNp0Ac,156347,4
4,0,1ZLrDPgR7mvuTco3rQK8Pk,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,SHAUN/Conor Maynard/Sam Feldt,1,0,0.737,0.747,10,-4.818,1,0.0323,0.269,0.0,0.219,0.447,105.943,audio_features,spotify:track:1ZLrDPgR7mvuTco3rQK8Pk,https://api.spotify.com/v1/tracks/1ZLrDPgR7mvuTco3rQK8Pk,https://api.spotify.com/v1/audio-analysis/1ZLrDPgR7mvuTco3rQK8Pk,192453,4
5,13,0o0LTGxVpB2gG05hIUVrtF,Oh Child - LOVRA Remix,Robin Schulz/Piso 21/LOVRA,1,0,0.707,0.635,5,-6.962,0,0.0907,0.00356,0.0112,0.0294,0.737,122.994,audio_features,spotify:track:0o0LTGxVpB2gG05hIUVrtF,https://api.spotify.com/v1/tracks/0o0LTGxVpB2gG05hIUVrtF,https://api.spotify.com/v1/audio-analysis/0o0LTGxVpB2gG05hIUVrtF,253667,4
6,5,1s3lN9mJhWzhNIw28SQTuf,Heavy,Anne-Marie,1,0,0.461,0.583,5,-4.581,1,0.0814,0.283,0.0,0.112,0.497,133.032,audio_features,spotify:track:1s3lN9mJhWzhNIw28SQTuf,https://api.spotify.com/v1/tracks/1s3lN9mJhWzhNIw28SQTuf,https://api.spotify.com/v1/audio-analysis/1s3lN9mJhWzhNIw28SQTuf,172870,5
7,0,7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers/Halsey,1,0,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,audio_features,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,244960,4
8,0,0S5WBZRjyi7tTQprkYfPkz,Dessert (Remix) (Originally Performed By Dawin Feat. Silento),New Tribute Kings,0,0,0.756,0.601,6,-8.293,1,0.123,0.0101,0.0,0.0713,0.441,193.972,audio_features,spotify:track:0S5WBZRjyi7tTQprkYfPkz,https://api.spotify.com/v1/tracks/0S5WBZRjyi7tTQprkYfPkz,https://api.spotify.com/v1/audio-analysis/0S5WBZRjyi7tTQprkYfPkz,208540,4
9,0,5PYQUBXc7NYeI1obMKSJK0,Never Really Over,Katy Perry,1,0,0.77,0.882,8,-4.792,1,0.0602,0.194,0.0,0.316,0.385,99.991,audio_features,spotify:track:5PYQUBXc7NYeI1obMKSJK0,https://api.spotify.com/v1/tracks/5PYQUBXc7NYeI1obMKSJK0,https://api.spotify.com/v1/audio-analysis/5PYQUBXc7NYeI1obMKSJK0,223523,4
