,index_x,id,track,artist,match,index_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,1,6ZvLKwgPKlyZtDPkTWjPI7,This Groove,Oliver Heldens/Lenno,2,0,0.823,0.909,1,-4.508,1,0.0635,0.00779,0.0407,0.126,0.787,124.025,audio_features,spotify:track:6ZvLKwgPKlyZtDPkTWjPI7,https://api.spotify.com/v1/tracks/6ZvLKwgPKlyZtDPkTWjPI7,https://api.spotify.com/v1/audio-analysis/6ZvLKwgPKlyZtDPkTWjPI7,188175,4
1,0,483XiZ5o13Cc1zoWV7jGml,Gecko (Overdrive) - Radio Edit,Oliver Heldens/Becky Hill,2,0,0.609,0.885,0,-5.469,1,0.0642,0.00521,1.15e-05,0.336,0.76,124.959,audio_features,spotify:track:483XiZ5o13Cc1zoWV7jGml,https://api.spotify.com/v1/tracks/483XiZ5o13Cc1zoWV7jGml,https://api.spotify.com/v1/audio-analysis/483XiZ5o13Cc1zoWV7jGml,165441,4
2,3,5xBafmhrJzzMsd1dxErIbJ,Nothing Breaks Like a Heart - Don Diablo Remix,Mark Ronson/Miley Cyrus/Don Diablo,3,0,0.712,0.871,7,-3.571,0,0.225,0.179,1.94e-06,0.203,0.379,123.974,audio_features,spotify:track:5xBafmhrJzzMsd1dxErIbJ,https://api.spotify.com/v1/tracks/5xBafmhrJzzMsd1dxErIbJ,https://api.spotify.com/v1/audio-analysis/5xBafmhrJzzMsd1dxErIbJ,216774,4
3,11,2voXYNGH8QdnFptUePZ0zF,Apollo - Radio Edit,Hardwell/Amba Shepherd,2,0,0.56,0.742,9,-6.122,1,0.0666,0.015,0.0134,0.639,0.275,128.06,audio_features,spotify:track:2voXYNGH8QdnFptUePZ0zF,https://api.spotify.com/v1/tracks/2voXYNGH8QdnFptUePZ0zF,https://api.spotify.com/v1/audio-analysis/2voXYNGH8QdnFptUePZ0zF,209766,4
4,14,00pPwK5rjix7ZohwsKcq99,Helicopter - Original Mix,Martin Garrix/Firebeatz,2,0,0.589,0.961,7,-4.934,1,0.0385,0.00169,0.613,0.149,0.237,128.021,audio_features,spotify:track:00pPwK5rjix7ZohwsKcq99,https://api.spotify.com/v1/tracks/00pPwK5rjix7ZohwsKcq99,https://api.spotify.com/v1/audio-analysis/00pPwK5rjix7ZohwsKcq99,278680,4
5,4,7MGCdXA9hghopcTiSmYFus,Knockout,Deorro/MAKJ/Quintino,3,0,0.625,0.932,1,-4.851,1,0.067,0.000915,0.151,0.237,0.387,127.804,audio_features,spotify:track:7MGCdXA9hghopcTiSmYFus,https://api.spotify.com/v1/tracks/7MGCdXA9hghopcTiSmYFus,https://api.spotify.com/v1/audio-analysis/7MGCdXA9hghopcTiSmYFus,143359,4
6,0,7zHrHnVSQwI95FGHewXDl8,Do Bad Well (feat. Nevve),KSHMR/Nevve,1,0,0.604,0.894,5,-4.755,1,0.113,0.0512,0.000315,0.234,0.415,127.964,audio_features,spotify:track:7zHrHnVSQwI95FGHewXDl8,https://api.spotify.com/v1/tracks/7zHrHnVSQwI95FGHewXDl8,https://api.spotify.com/v1/audio-analysis/7zHrHnVSQwI95FGHewXDl8,204375,4
7,0,4LQhrcdW8rqkC6K0uTKpUO,Gangsta's Paradise / Lose Yourself / Let Me Blow Ya Mind / Candy Shop / The Real Slim Shady / The Next Episode / Without Me / Thong Song / Let's Get It Started,Ember Trio,0,0,0.407,0.509,11,-9.862,0,0.0411,0.00419,0.372,0.0649,0.543,96.974,audio_features,spotify:track:4LQhrcdW8rqkC6K0uTKpUO,https://api.spotify.com/v1/tracks/4LQhrcdW8rqkC6K0uTKpUO,https://api.spotify.com/v1/audio-analysis/4LQhrcdW8rqkC6K0uTKpUO,211482,4
8,1,72RFLY7sigTDszBRAKg9Mf,Like A Bitch - Extended Mix,Zomboy,1,0,0.592,0.988,6,-0.846,1,0.0997,0.000767,0.707,0.0847,0.268,149.985,audio_features,spotify:track:72RFLY7sigTDszBRAKg9Mf,https://api.spotify.com/v1/tracks/72RFLY7sigTDszBRAKg9Mf,https://api.spotify.com/v1/audio-analysis/72RFLY7sigTDszBRAKg9Mf,264000,4
9,0,5ZllLzbyP8IlPg5mQEYxIK,Human - Rudimental Remix,Rag'n'Bone Man/Rudimental,1,0,0.642,0.834,10,-5.281,0,0.0674,0.0228,0.0,0.126,0.58,79.982,audio_features,spotify:track:5ZllLzbyP8IlPg5mQEYxIK,https://api.spotify.com/v1/tracks/5ZllLzbyP8IlPg5mQEYxIK,https://api.spotify.com/v1/audio-analysis/5ZllLzbyP8IlPg5mQEYxIK,261093,4
10,0,1SdwlHsv8bWHbAlIw5Jfgo,Laughter,Official HIGE DANdism,0,0,0.396,0.801,4,-4.673,1,0.035,0.023,0.0,0.138,0.366,159.769,audio_features,spotify:track:1SdwlHsv8bWHbAlIw5Jfgo,https://api.spotify.com/v1/tracks/1SdwlHsv8bWHbAlIw5Jfgo,https://api.spotify.com/v1/audio-analysis/1SdwlHsv8bWHbAlIw5Jfgo,350300,4
11,0,2QClgxYcgxxDD7EqOe1c3X,No Money - Dillon Francis Remix,Galantis/Dillon Francis,1,0,0.734,0.774,2,-3.606,1,0.0551,0.000247,0.0698,0.134,0.396,128.023,audio_features,spotify:track:2QClgxYcgxxDD7EqOe1c3X,https://api.spotify.com/v1/tracks/2QClgxYcgxxDD7EqOe1c3X,https://api.spotify.com/v1/audio-analysis/2QClgxYcgxxDD7EqOe1c3X,281694,4
12,0,62feRreeM9ea7i2VHVSKrg,Freaks,Timmy Trumpet/Savage,1,0,0.886,0.967,4,-0.776,1,0.142,0.0157,0.389,0.239,0.745,128.1,audio_features,spotify:track:62feRreeM9ea7i2VHVSKrg,https://api.spotify.com/v1/tracks/62feRreeM9ea7i2VHVSKrg,https://api.spotify.com/v1/audio-analysis/62feRreeM9ea7i2VHVSKrg,168750,4
13,0,46rZgRYU1H5Xnv0n75OGis,Deep Down Low,Valentino Khan,1,0,0.794,0.896,5,-1.514,0,0.0677,0.00371,0.615,0.0876,0.5,125.999,audio_features,spotify:track:46rZgRYU1H5Xnv0n75OGis,https://api.spotify.com/v1/tracks/46rZgRYU1H5Xnv0n75OGis,https://api.spotify.com/v1/audio-analysis/46rZgRYU1H5Xnv0n75OGis,190476,4
14,6,2FBWraQveQ9EjEzHam95Up,Gorilla,Will Sparks/Tyron Hapi/Luciana,3,0,0.508,0.87,7,-2.02,1,0.321,0.00435,0.00018,0.661,0.708,127.965,audio_features,spotify:track:2FBWraQveQ9EjEzHam95Up,https://api.spotify.com/v1/tracks/2FBWraQveQ9EjEzHam95Up,https://api.spotify.com/v1/audio-analysis/2FBWraQveQ9EjEzHam95Up,217522,4
