,index_x,id,track,artist,match,index_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,0,5KY4cDf83wJ03EUCJ3rkaf,Waiting For Love,Avicii,1,0,0.579,0.736,6,-3.863,0,0.0527,0.31,0,0.198,0.613,127.999,audio_features,spotify:track:5KY4cDf83wJ03EUCJ3rkaf,https://api.spotify.com/v1/tracks/5KY4cDf83wJ03EUCJ3rkaf,https://api.spotify.com/v1/audio-analysis/5KY4cDf83wJ03EUCJ3rkaf,230613,4
1,0,5B03nSG8pLE48jh7kmasuL,Levels - Radio Edit,Avicii,1,0,0.579,0.887,1,-5.961,0,0.0334,0.0484,0.828,0.294,0.472,126.041,audio_features,spotify:track:5B03nSG8pLE48jh7kmasuL,https://api.spotify.com/v1/tracks/5B03nSG8pLE48jh7kmasuL,https://api.spotify.com/v1/audio-analysis/5B03nSG8pLE48jh7kmasuL,201920,4
2,0,5UHrKSQhNs96msAx8LPVwS,Breach (Walk Alone),Martin Garrix/Blinders,2,0,0.738,0.953,1,-4.781,1,0.216,0.0388,0.0146,0.214,0.483,128.069,audio_features,spotify:track:5UHrKSQhNs96msAx8LPVwS,https://api.spotify.com/v1/tracks/5UHrKSQhNs96msAx8LPVwS,https://api.spotify.com/v1/audio-analysis/5UHrKSQhNs96msAx8LPVwS,178125,4
3,2,0gxGuvGAGfc41ujvTtXE2H,Animals,Martin Garrix,1,0,0.676,0.857,1,-6.7,1,0.0391,0.00149,0.674,0.307,0.0378,128.01,audio_features,spotify:track:0gxGuvGAGfc41ujvTtXE2H,https://api.spotify.com/v1/tracks/0gxGuvGAGfc41ujvTtXE2H,https://api.spotify.com/v1/audio-analysis/0gxGuvGAGfc41ujvTtXE2H,303040,4
4,0,5K57Yibvj9Aceq9Mv1xo8P,Hey Boy Hey Girl,The Chemical Brothers,1,0,0.632,0.921,2,-4.976,1,0.0529,0.119,0.522,0.114,0.363,127.001,audio_features,spotify:track:5K57Yibvj9Aceq9Mv1xo8P,https://api.spotify.com/v1/tracks/5K57Yibvj9Aceq9Mv1xo8P,https://api.spotify.com/v1/audio-analysis/5K57Yibvj9Aceq9Mv1xo8P,290493,4
5,0,5HJqLDDjgdhON8LL9U3Oa3,Bomb A Drop,Garmiani,1,0,0.675,0.992,7,-0.533,0,0.0605,0.0022,0.221,0.387,0.483,128.034,audio_features,spotify:track:5HJqLDDjgdhON8LL9U3Oa3,https://api.spotify.com/v1/tracks/5HJqLDDjgdhON8LL9U3Oa3,https://api.spotify.com/v1/audio-analysis/5HJqLDDjgdhON8LL9U3Oa3,158555,4
6,8,6RnkFd8Fqqgk1Uni8RgqCQ,Like I Do,David Guetta/Martin Garrix/Brooks,3,0,0.635,0.9,0,-3.719,0,0.0377,0.00664,0.0145,0.37,0.15,127.978,audio_features,spotify:track:6RnkFd8Fqqgk1Uni8RgqCQ,https://api.spotify.com/v1/tracks/6RnkFd8Fqqgk1Uni8RgqCQ,https://api.spotify.com/v1/audio-analysis/6RnkFd8Fqqgk1Uni8RgqCQ,202500,4
7,0,2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,0,0,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,audio_features,spotify:track:2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,194088,4
8,2,3Q7kjtIFCyZX0X9Dwk4gTQ,Booyah 2018 Remixes (feat. We Are Loud & Sonny Wilson) - Breathe Carolina Remix,Showtek/Sonny Wilson/We Are Loud,3,0,0.564,0.963,3,-1.501,0,0.0549,0.00925,0.00258,0.351,0.594,128.011,audio_features,spotify:track:3Q7kjtIFCyZX0X9Dwk4gTQ,https://api.spotify.com/v1/tracks/3Q7kjtIFCyZX0X9Dwk4gTQ,https://api.spotify.com/v1/audio-analysis/3Q7kjtIFCyZX0X9Dwk4gTQ,229219,4
9,0,3BjAH27a3hZLdAH3kgGY37,Party Rock Anthem,LMFAO/Lauren Bennett/GoonRock,1,0,0.751,0.736,5,-4.168,0,0.156,0.0206,0,0.265,0.352,130.014,audio_features,spotify:track:3BjAH27a3hZLdAH3kgGY37,https://api.spotify.com/v1/tracks/3BjAH27a3hZLdAH3kgGY37,https://api.spotify.com/v1/audio-analysis/3BjAH27a3hZLdAH3kgGY37,262147,4
10,0,0azC730Exh71aQlOt9Zj3y,This Is What You Came For (feat. Rihanna),Calvin Harris/Rihanna,1,0,0.63,0.928,9,-2.787,0,0.0331,0.199,0.124,0.148,0.465,123.963,audio_features,spotify:track:0azC730Exh71aQlOt9Zj3y,https://api.spotify.com/v1/tracks/0azC730Exh71aQlOt9Zj3y,https://api.spotify.com/v1/audio-analysis/0azC730Exh71aQlOt9Zj3y,222160,4
