,index_x,id,track,artist,match,index_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,0,2CUFdVkKOIvBcQnvZ3zbLV,Intentions,Justin Bieber/Quavo,2,0,0.813,0.554,9,-6.631,1,0.0544,0.315,0,0.105,0.86,148.011,audio_features,spotify:track:2CUFdVkKOIvBcQnvZ3zbLV,https://api.spotify.com/v1/tracks/2CUFdVkKOIvBcQnvZ3zbLV,https://api.spotify.com/v1/audio-analysis/2CUFdVkKOIvBcQnvZ3zbLV,212869,4
1,0,2wsHtKgXtW83P4yTfFlH8s,Yummy,Justin Bieber,1,0,0.677,0.506,9,-6.652,0,0.0964,0.345,0,0.118,0.497,145.843,audio_features,spotify:track:2wsHtKgXtW83P4yTfFlH8s,https://api.spotify.com/v1/tracks/2wsHtKgXtW83P4yTfFlH8s,https://api.spotify.com/v1/audio-analysis/2wsHtKgXtW83P4yTfFlH8s,208520,4
2,0,2o9LAypwGH4ctV0i9boo6d,Come Around Me,Justin Bieber,1,0,0.648,0.681,2,-8.389,0,0.0378,0.263,0.00783,0.0971,0.767,157.941,audio_features,spotify:track:2o9LAypwGH4ctV0i9boo6d,https://api.spotify.com/v1/tracks/2o9LAypwGH4ctV0i9boo6d,https://api.spotify.com/v1/audio-analysis/2o9LAypwGH4ctV0i9boo6d,200773,4
3,4,6ZOXF7nbzCpPVNlC0AG1rF,Indigo,Chris Brown,1,0,0.596,0.754,3,-4.791,0,0.127,0.331,0,0.247,0.533,151.921,audio_features,spotify:track:6ZOXF7nbzCpPVNlC0AG1rF,https://api.spotify.com/v1/tracks/6ZOXF7nbzCpPVNlC0AG1rF,https://api.spotify.com/v1/audio-analysis/6ZOXF7nbzCpPVNlC0AG1rF,192627,4
4,0,6GSkLS2y4ZnnZsuRAj975K,Project Dreams,Marshmello/Roddy Ricch,2,0,0.78,0.828,8,-2.235,1,0.237,0.409,0,0.104,0.786,160.113,audio_features,spotify:track:6GSkLS2y4ZnnZsuRAj975K,https://api.spotify.com/v1/tracks/6GSkLS2y4ZnnZsuRAj975K,https://api.spotify.com/v1/audio-analysis/6GSkLS2y4ZnnZsuRAj975K,167898,4
5,0,2VLahyfOp1t3SMuU2HeQvx,Last Smile,LOVE PSYCHEDELICO,0,0,0.685,0.741,4,-4.914,0,0.027,0.615,2.4e-05,0.152,0.542,88.958,audio_features,spotify:track:2VLahyfOp1t3SMuU2HeQvx,https://api.spotify.com/v1/tracks/2VLahyfOp1t3SMuU2HeQvx,https://api.spotify.com/v1/audio-analysis/2VLahyfOp1t3SMuU2HeQvx,346507,4
6,5,4EAV2cKiqKP5UPZmY6dejk,Everyday,Logic/Marshmello,2,0,0.667,0.741,1,-4.099,1,0.0378,0.0425,0,0.0761,0.422,149.908,audio_features,spotify:track:4EAV2cKiqKP5UPZmY6dejk,https://api.spotify.com/v1/tracks/4EAV2cKiqKP5UPZmY6dejk,https://api.spotify.com/v1/audio-analysis/4EAV2cKiqKP5UPZmY6dejk,204747,4
7,0,1jg9clsGCDqOumfS0X5xm9,Living Proof,Camila Cabello,1,0,0.735,0.514,7,-5.464,1,0.082,0.109,0,0.359,0.517,77.566,audio_features,spotify:track:1jg9clsGCDqOumfS0X5xm9,https://api.spotify.com/v1/tracks/1jg9clsGCDqOumfS0X5xm9,https://api.spotify.com/v1/audio-analysis/1jg9clsGCDqOumfS0X5xm9,194440,4
8,0,2BlIvqI6iRD69wmbWEWJBQ,I Love Myself (feat. Macklemore),Ciara/Macklemore,1,0,0.786,0.759,2,-4.345,1,0.293,0.224,0,0.137,0.563,79.97,audio_features,spotify:track:2BlIvqI6iRD69wmbWEWJBQ,https://api.spotify.com/v1/tracks/2BlIvqI6iRD69wmbWEWJBQ,https://api.spotify.com/v1/audio-analysis/2BlIvqI6iRD69wmbWEWJBQ,328497,4
9,1,12Fkyg9lpmaz2zmKOfw2Y2,On The Road (feat. Meek Mill & Lil Baby),Post Malone/Meek Mill/Lil Baby,1,0,0.442,0.737,7,-5.046,1,0.109,0.0589,0,0.102,0.21,112.93,audio_features,spotify:track:12Fkyg9lpmaz2zmKOfw2Y2,https://api.spotify.com/v1/tracks/12Fkyg9lpmaz2zmKOfw2Y2,https://api.spotify.com/v1/audio-analysis/12Fkyg9lpmaz2zmKOfw2Y2,218320,5
10,0,7sWRlDoTDX8geTR8zzr2vt,Hollywood's Bleeding,Post Malone,1,0,0.405,0.646,4,-3.206,0,0.0476,0.331,0,0.103,0.17,130.218,audio_features,spotify:track:7sWRlDoTDX8geTR8zzr2vt,https://api.spotify.com/v1/tracks/7sWRlDoTDX8geTR8zzr2vt,https://api.spotify.com/v1/audio-analysis/7sWRlDoTDX8geTR8zzr2vt,156267,4
11,0,0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone/Swae Lee,1,0,0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96,audio_features,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,https://api.spotify.com/v1/tracks/0RiRZpuVRbi7oqRdSMwhQY,https://api.spotify.com/v1/audio-analysis/0RiRZpuVRbi7oqRdSMwhQY,157560,4
12,0,0dj1CtyRxZ4bnIT4Q20jNT,Wake Up Alone,The Chainsmokers/Jhené Aiko,2,0,0.643,0.52,9,-5.968,0,0.0334,0.0102,0,0.11,0.23,75.168,audio_features,spotify:track:0dj1CtyRxZ4bnIT4Q20jNT,https://api.spotify.com/v1/tracks/0dj1CtyRxZ4bnIT4Q20jNT,https://api.spotify.com/v1/audio-analysis/0dj1CtyRxZ4bnIT4Q20jNT,215720,4
