,index_x,id,track,artist,match,index_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,0,5B03nSG8pLE48jh7kmasuL,Levels - Radio Edit,Avicii,1,0,0.579,0.887,1,-5.961,0,0.0334,0.0484,0.828,0.294,0.472,126.041,audio_features,spotify:track:5B03nSG8pLE48jh7kmasuL,https://api.spotify.com/v1/tracks/5B03nSG8pLE48jh7kmasuL,https://api.spotify.com/v1/audio-analysis/5B03nSG8pLE48jh7kmasuL,201920,4
1,0,4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,One Direction,1,0,0.726,0.787,4,-2.494,1,0.0737,0.009,0.0,0.0596,0.888,124.99,audio_features,spotify:track:4cluDES4hQEUhmXj6TXkSo,https://api.spotify.com/v1/tracks/4cluDES4hQEUhmXj6TXkSo,https://api.spotify.com/v1/audio-analysis/4cluDES4hQEUhmXj6TXkSo,199987,4
2,0,0CAfXk7DXMnon4gLudAp7J,Low (feat. T-Pain),Flo Rida/T-Pain,2,0,0.918,0.609,10,-5.64,0,0.0791,0.0928,0.0,0.139,0.304,128.008,audio_features,spotify:track:0CAfXk7DXMnon4gLudAp7J,https://api.spotify.com/v1/tracks/0CAfXk7DXMnon4gLudAp7J,https://api.spotify.com/v1/audio-analysis/0CAfXk7DXMnon4gLudAp7J,231400,4
3,0,78qd8dvwea0Gosb6Fe6j3k,Boss Bitch,Doja Cat,1,0,0.707,0.955,10,-4.593,0,0.222,0.127,0.0,0.202,0.575,125.989,audio_features,spotify:track:78qd8dvwea0Gosb6Fe6j3k,https://api.spotify.com/v1/tracks/78qd8dvwea0Gosb6Fe6j3k,https://api.spotify.com/v1/audio-analysis/78qd8dvwea0Gosb6Fe6j3k,134240,4
4,0,0upFohXrGxIIAjyaJmCkMU,"Tokyo Drift (Fast & Furious) - From ""The Fast And The Furious: Tokyo Drift"" Soundtrack",Teriyaki Boyz,1,0,0.757,0.892,6,-5.321,1,0.124,0.178,4.19e-05,0.0719,0.936,127.014,audio_features,spotify:track:0upFohXrGxIIAjyaJmCkMU,https://api.spotify.com/v1/tracks/0upFohXrGxIIAjyaJmCkMU,https://api.spotify.com/v1/audio-analysis/0upFohXrGxIIAjyaJmCkMU,255947,4
5,0,60pEyAzL6SQZM9Nv739Whc,Shots - LMFAO feat. Lil Jon (Party Rock)(Instrumental),DJ ReDo,0,0,0.771,0.674,8,-6.616,1,0.0764,0.000623,0.0197,0.519,0.224,128.005,audio_features,spotify:track:60pEyAzL6SQZM9Nv739Whc,https://api.spotify.com/v1/tracks/60pEyAzL6SQZM9Nv739Whc,https://api.spotify.com/v1/audio-analysis/60pEyAzL6SQZM9Nv739Whc,220630,4
6,0,1r3d5vpAieOhSzT2oCLs4z,Sex On the Beach - Andy LaToggo Remix,Hot Bananas/Levina/Andy Latoggo,0,0,0.86,0.635,7,-6.01,0,0.0633,0.00948,0.0439,0.0933,0.225,127.987,audio_features,spotify:track:1r3d5vpAieOhSzT2oCLs4z,https://api.spotify.com/v1/tracks/1r3d5vpAieOhSzT2oCLs4z,https://api.spotify.com/v1/audio-analysis/1r3d5vpAieOhSzT2oCLs4z,358000,4
7,0,61s24wRVyG7NP9m7EjdDKL,Don’t Stop The Party,Black Eyed Peas,0,0,0.869,0.794,0,-6.191,1,0.0984,0.0303,3.81e-06,0.07,0.656,128.022,audio_features,spotify:track:61s24wRVyG7NP9m7EjdDKL,https://api.spotify.com/v1/tracks/61s24wRVyG7NP9m7EjdDKL,https://api.spotify.com/v1/audio-analysis/61s24wRVyG7NP9m7EjdDKL,367413,4
8,14,2I44dbiAWJceNwnVfoAZjy,Fireball (feat. John Ryan) - Jump Smokers Remix,Pitbull/John Ryan,2,0,0.687,0.927,5,-6.06,0,0.246,0.0137,0.000716,0.29,0.597,128.01,audio_features,spotify:track:2I44dbiAWJceNwnVfoAZjy,https://api.spotify.com/v1/tracks/2I44dbiAWJceNwnVfoAZjy,https://api.spotify.com/v1/audio-analysis/2I44dbiAWJceNwnVfoAZjy,211867,4
9,40,0HSWumdK7aG4M3ORAb5z8t,Space Jam,Friend Within,1,0,0.661,0.977,11,-5.729,1,0.0427,0.00511,0.787,0.265,0.752,123.998,audio_features,spotify:track:0HSWumdK7aG4M3ORAb5z8t,https://api.spotify.com/v1/tracks/0HSWumdK7aG4M3ORAb5z8t,https://api.spotify.com/v1/audio-analysis/0HSWumdK7aG4M3ORAb5z8t,191613,4
