,index_x,id,track,artist,match,index_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,0,4LQhrcdW8rqkC6K0uTKpUO,Gangsta's Paradise / Lose Yourself / Let Me Blow Ya Mind / Candy Shop / The Real Slim Shady / The Next Episode / Without Me / Thong Song / Let's Get It Started,Ember Trio,0,0,0.407,0.509,11,-9.862,0,0.0411,0.00419,0.372,0.0649,0.543,96.974,audio_features,spotify:track:4LQhrcdW8rqkC6K0uTKpUO,https://api.spotify.com/v1/tracks/4LQhrcdW8rqkC6K0uTKpUO,https://api.spotify.com/v1/audio-analysis/4LQhrcdW8rqkC6K0uTKpUO,211482,4
1,15,2xda9V4jTo8AifNVxuJ4lQ,Out Of Control,LOOPERS/Seth Hills,1,0,0.667,0.895,1,-3.885,1,0.111,0.00377,0.0894,0.346,0.568,127.98,audio_features,spotify:track:2xda9V4jTo8AifNVxuJ4lQ,https://api.spotify.com/v1/tracks/2xda9V4jTo8AifNVxuJ4lQ,https://api.spotify.com/v1/audio-analysis/2xda9V4jTo8AifNVxuJ4lQ,152812,4
2,0,0Sp0RwhaE0CdJE8ctmXk4U,Ready Or Not,MOMOLAND,0,0,0.725,0.901,11,-1.8,1,0.0985,0.00954,0.0,0.28,0.558,125.022,audio_features,spotify:track:0Sp0RwhaE0CdJE8ctmXk4U,https://api.spotify.com/v1/tracks/0Sp0RwhaE0CdJE8ctmXk4U,https://api.spotify.com/v1/audio-analysis/0Sp0RwhaE0CdJE8ctmXk4U,200173,4
3,0,1PYsy4cGp3egbeaQDjIGIa,Yottabyte,Martin Garrix,1,0,0.634,0.632,5,-4.52,0,0.0313,0.0129,0.000453,0.116,0.449,128.075,audio_features,spotify:track:1PYsy4cGp3egbeaQDjIGIa,https://api.spotify.com/v1/tracks/1PYsy4cGp3egbeaQDjIGIa,https://api.spotify.com/v1/audio-analysis/1PYsy4cGp3egbeaQDjIGIa,210005,4
4,0,2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,1,0,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,audio_features,spotify:track:2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,194088,4
5,0,1lLveLAU3qJ0nhraLoRTAi,Turning Up (R3HAB Remix),ARASHI/R3HAB,1,0,0.705,0.77,1,-6.696,1,0.0432,0.0104,0.0,0.0606,0.48,125.068,audio_features,spotify:track:1lLveLAU3qJ0nhraLoRTAi,https://api.spotify.com/v1/tracks/1lLveLAU3qJ0nhraLoRTAi,https://api.spotify.com/v1/audio-analysis/1lLveLAU3qJ0nhraLoRTAi,166700,4
6,0,5KawlOMHjWeUjQtnuRs22c,Boy With Luv (feat. Halsey),BTS/Halsey,1,0,0.645,0.862,11,-4.757,0,0.0965,0.0923,0.0,0.192,0.798,119.991,audio_features,spotify:track:5KawlOMHjWeUjQtnuRs22c,https://api.spotify.com/v1/tracks/5KawlOMHjWeUjQtnuRs22c,https://api.spotify.com/v1/audio-analysis/5KawlOMHjWeUjQtnuRs22c,229773,4
7,0,79weO6yONe0oyPFWXjJroW,Titanium (feat. Sia),David Guetta/Sia,2,0,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,audio_features,spotify:track:79weO6yONe0oyPFWXjJroW,https://api.spotify.com/v1/tracks/79weO6yONe0oyPFWXjJroW,https://api.spotify.com/v1/audio-analysis/79weO6yONe0oyPFWXjJroW,245040,4
8,11,6W3MfwGv8dULl2gvb9u7Y5,One More Chance,RetroVision,1,0,0.774,0.92,5,-4.102,1,0.277,0.122,0.0,0.0665,0.462,125.928,audio_features,spotify:track:6W3MfwGv8dULl2gvb9u7Y5,https://api.spotify.com/v1/tracks/6W3MfwGv8dULl2gvb9u7Y5,https://api.spotify.com/v1/audio-analysis/6W3MfwGv8dULl2gvb9u7Y5,176667,4
9,0,7nH8ks1wDXYW13fAJP99jH,Straight Into The Fire,Zedd,1,0,0.583,0.86,8,-4.347,1,0.0842,0.0231,1.33e-06,0.0977,0.279,127.032,audio_features,spotify:track:7nH8ks1wDXYW13fAJP99jH,https://api.spotify.com/v1/tracks/7nH8ks1wDXYW13fAJP99jH,https://api.spotify.com/v1/audio-analysis/7nH8ks1wDXYW13fAJP99jH,221533,4
